unit,group,closing_kg,source_column,doc_no,date,article_or_item,rm_or_route,kg,extra
W-202,trail mix,-1851.7,OUTWARD,CND/26-27/308,2026-04-16,Dark Chocolate Coated Cashew Stuffed Khalas Single,,575.0,
W-202,trail mix,-1851.7,OUTWARD,CND/26-27/178,2026-04-11,Daily Mewa Healthy Mix,,500.0,
W-202,trail mix,-1851.7,OUTWARD,CND/26-27/550,2026-04-28,Daily Mewa Healthy Mix,,500.0,
W-202,trail mix,-1851.7,OUTWARD,CND/26-27/649,2026-05-05,Dark Chocolate Coated Almond Stuffed Khalas Single,,500.0,
W-202,trail mix,-1851.7,OUTWARD,CND/26-27/649,2026-05-05,Dark Chocolate Coated Cashew Stuffed Khalas Single,,500.0,
W-202,trail mix,-1851.7,OUTWARD,CND/26-27/741,2026-05-09,Dark Chocolate Coated Almond Stuffed Khalas Single,,500.0,
W-202,trail mix,-1851.7,OUTWARD,CND/26-27/741,2026-05-09,Dark Chocolate Coated Cashew Stuffed Khalas Single,,500.0,
W-202,trail mix,-1851.7,OUTWARD,CND/26-27/787,2026-05-12,Daily Mewa Healthy Mix,,500.0,
W-202,trail mix,-1851.7,OUTWARD,CND/26-27/795,2026-05-13,Dark Chocolate Coated Almond Stuffed Khalas Single,,500.0,PDF:130526\Mie Foods [CFPL] {7
W-202,trail mix,-1851.7,ADJ-OUT (BOM),CND/26-27/31,2026-04-04,NB MILLENNIUM NUT MIX LOOSE,Millennium Nut Mix,3.0,
W-202,trail mix,-1851.7,ADJ-OUT (BOM),CND/26-27/401,2026-04-21,NB MILLENNIUM NUT MIX LOOSE,Millennium Nut Mix,2.0,
W-202,trail mix,-1851.7,ADJ-OUT (BOM),CND/26-27/167,2026-04-10,NB MILLENNIUM NUT MIX LOOSE,Millennium Nut Mix,1.0,
W-202,trail mix,-1851.7,ADJ-OUT (BOM),CND/26-27/662,2026-05-05,NB MILLENNIUM NUT MIX LOOSE,Millennium Nut Mix,1.0,
W-202,trail mix,-1851.7,ADJ-OUT (BOM),CND/26-27/724,2026-05-08,NB MILLENNIUM NUT MIX LOOSE,Millennium Nut Mix,1.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/29,2026-04-04,California Inshell Almonds,,20412.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/749,2026-05-09,Independence Almonds,,5010.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/706,2026-05-07,Independence Almonds,,4500.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/792,2026-05-12,Independence Almonds,,1650.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/404,2026-04-21,"Almond Blanched, whole",,1000.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/93,2026-04-07,"Almond Blanched, whole",,500.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/295,2026-04-15,"Almond Blanched, whole",,500.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/49,2026-04-06,Natures American Almonds 1 KG (1416275),,400.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/864,2026-05-16,Almond Sliced,,258.0,PDF:160526\Ajfan [CFPL] {864} 
W-202,almond,-311.8,OUTWARD,CND/26-27/332,2026-04-17,Almond Sliced,,252.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/563,2026-04-29,Almond Sliced,,252.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/34,2026-04-04,Roasted & Salted Almonds,,250.0,
W-202,almond,-311.8,OUTWARD,CND/26-27/607,2026-04-30,Fabsta Almond Roasted 200g (1468499),,223.2,
W-202,almond,-311.8,OUTWARD,CND/26-27/807,2026-05-13,Natures American Almonds 1 KG (1416275),,215.0,PDF:130526\Natures [CFPL] {807
W-202,almond,-311.8,OUTWARD,CND/26-27/744,2026-05-09,Almond Sliced,,204.0,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/49,2026-04-06,Natures American Almonds 1 KG (1416275),American Almonds (23-25 Count),404.0,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/34,2026-04-04,Roasted & Salted Almonds,American Almonds Running 25-27 count,252.5,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/607,2026-04-30,Fabsta Almond Roasted 200g (1468499),American Almonds Running 25-27 count,223.2,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/408,2026-04-21,Roasted & Salted Almonds,American Almonds Running 25-27 count,202.0,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/409,2026-04-21,Roasted & Salted Almonds,American Almonds Running 25-27 count,202.0,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/778,2026-05-11,Roasted & Salted Almonds,American Almonds Running 25-27 count,202.0,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/27,2026-04-04,Natures American Almonds 1 KG (1416275),American Almonds (23-25 Count),121.2,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/110,2026-04-08,CCD Energy Bar with Jaggery,American Almonds Tukda,120.3,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/216,2026-04-13,Roasted & Salted Almonds,American Almonds Running 25-27 count,101.0,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/785,2026-05-12,Roasted & Salted Almonds,American Almonds Running 25-27 count,101.0,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/376,2026-04-20,Fabsta Almond Roasted 200g (1468499),American Almonds Running 25-27 count,100.8,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/393,2026-04-20,Fabsta Almond Roasted 200g (1468499),American Almonds Running 25-27 count,100.8,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/598,2026-04-30,Dark Chocolate Coated Almond Stuffed Khalas Single,American Almonds Running 25-27 count,100.0,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/779,2026-05-11,Dryfruit Instant Energy Laddubar Bites 9gm,American Almonds Tukda,99.0,
W-202,almond,-311.8,ADJ-OUT (BOM),CND/26-27/650,2026-05-05,FNP Almonds 26-29 - Salted & Roasted 50 gm,American Almonds Running 25-27 count,98.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604081532,2026-04-08,ALMOND KERNEL,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604081532,2026-04-08,ALMOND KERNEL,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604081532,2026-04-08,ALMOND KERNEL,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604081532,2026-04-08,ALMOND KERNEL,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604081532,2026-04-08,ALMOND KERNEL,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604081532,2026-04-08,ALMOND KERNEL,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604081532,2026-04-08,ALMOND KERNEL,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604081532,2026-04-08,ALMOND KERNEL,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604081532,2026-04-08,ALMOND KERNEL,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604231338,2026-04-23,AMERICAN ALMONDS RUNNING 25-27 COUNT,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604231338,2026-04-23,AMERICAN ALMONDS RUNNING 25-27 COUNT,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604231338,2026-04-23,AMERICAN ALMONDS RUNNING 25-27 COUNT,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604231338,2026-04-23,AMERICAN ALMONDS RUNNING 25-27 COUNT,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604231338,2026-04-23,AMERICAN ALMONDS RUNNING 25-27 COUNT,W202→F53 [Received],30.0,
W-202,almond,-311.8,XFR-OUT,TRANS202604231338,2026-04-23,AMERICAN ALMONDS RUNNING 25-27 COUNT,W202→F53 [Received],30.0,
W-202,festive hampers,-60.0,OUTWARD,CND/26-27/874,2026-05-16,Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),,36.0,PDF:160526\RK [ISK3] {7NLKT9ZB
W-202,festive hampers,-60.0,OUTWARD,CND/26-27/874,2026-05-16,Vedaka Premium Dry Fruits Combo 1000 gm Gift Box ( B0BBDP8GR2 ),,24.0,PDF:160526\RK [ISK3] {7NLKT9ZB
W-202,festive hampers,-60.0,OUTWARD,CND/26-27/311,2026-04-16,Vedaka Premium Flavored Dry Fruits 500 gm Gift Box (B0CGVC7DF2),,11.0,
W-202,festive hampers,-60.0,OUTWARD,CND/26-27/310,2026-04-16,Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),,4.0,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/260,2026-04-13,Greendot Coated Peanuts,Maize Starch,42.0,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/791,2026-05-12,Greendot Coated Peanuts,Maize Starch,35.0,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/562,2026-04-29,Greendot Coated Peanuts,Maize Starch,21.0,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/455,2026-04-23,Chipotle Honey Coated Peanuts 200g,Maize Starch,18.5,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/455,2026-04-23,Smokey BBQ Coated Peanuts 200g,Maize Starch,17.5,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/363,2026-04-18,Alpino Peanut Crackers Chipotle Honey 60g,Maize Starch,14.9,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/363,2026-04-18,Alpino Peanut Crackers Smokey BBQ 60g,Maize Starch,13.6,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/627,2026-05-04,Alpino Peanut Crackers Chipotle Honey 60g,Maize Starch,12.1,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/627,2026-05-04,Alpino Peanut Crackers Smokey BBQ 60g,Maize Starch,10.3,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/399,2026-04-21,Kracknut Coated Peanuts-Pudhina Patakha 1kg,Maize Starch,6.8,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/399,2026-04-21,Krack Nut Coated Peanuts Tandoori Toofan 1 Kg,Maize Starch,6.4,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/56,2026-04-06,Krack Nut Coated Peanuts Tandoori Toofan 1 Kg,Maize Starch,4.0,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/733,2026-05-09,Krack Nut Coated Peanuts Tandoori Toofan 1 Kg,Maize Starch,4.0,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/661,2026-05-05,Coated Peanuts,Maize Starch,1.5,
W-202,tajir,-52.3,ADJ-OUT (BOM),CND/26-27/680,2026-05-06,Coconut Laddubar Mini 9g,Wheat Aata (Wheat Flour)- TPL - 5%,0.4,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
SAVLA,blueberry,-36.3,XFR-OUT,TRANS202605041327,2026-05-04,DRIED BLUEBERRY,Cold Storage→W202 [Received],4.5,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/8,2026-04-02,BBroyal Black Current 100g,,7.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/9,2026-04-02,BBroyal Black Current 100g,,7.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/182,2026-04-11,BBroyal Black Current 100g,,5.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/183,2026-04-11,BBroyal Black Current 100g,,4.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/25,2026-04-04,BBroyal Black Current 100g,,3.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/167,2026-04-10,NB BLACKCURRANT DRIED LOOSE,,3.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/184,2026-04-11,BBroyal Black Current 100g,,2.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/725,2026-05-08,NB BLACKCURRANT DRIED LOOSE,,2.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/879,2026-05-16,NB BLACKCURRANT,,2.0,PDF:160526\Natures [CFPL] {879
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/26,2026-04-04,BBroyal Black Current 100g,,1.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/30,2026-04-04,NB BLACKCURRANT DRIED LOOSE,,1.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/401,2026-04-21,NB BLACKCURRANT DRIED LOOSE,,1.0,
W-202,blackcurrant,-24.9,OUTWARD,CND/26-27/724,2026-05-08,NB BLACKCURRANT DRIED LOOSE,,1.0,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/525,2026-04-27,Booster Berries 33gm,GREEK DARK SEEDLESS RAISINS (Black Currant),16.5,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/525,2026-04-27,Antioxidant Mix 33gm,Dried Black Currant,12.4,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/8,2026-04-02,BBroyal Black Current 100g,GREEK DARK SEEDLESS RAISINS (Black Currant),7.1,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/9,2026-04-02,BBroyal Black Current 100g,GREEK DARK SEEDLESS RAISINS (Black Currant),7.1,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/182,2026-04-11,BBroyal Black Current 100g,GREEK DARK SEEDLESS RAISINS (Black Currant),5.1,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/183,2026-04-11,BBroyal Black Current 100g,GREEK DARK SEEDLESS RAISINS (Black Currant),4.1,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/25,2026-04-04,BBroyal Black Current 100g,GREEK DARK SEEDLESS RAISINS (Black Currant),3.1,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/167,2026-04-10,NB BLACKCURRANT DRIED LOOSE,GREEK DARK SEEDLESS RAISINS (Black Currant),3.1,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/184,2026-04-11,BBroyal Black Current 100g,GREEK DARK SEEDLESS RAISINS (Black Currant),2.0,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/725,2026-05-08,NB BLACKCURRANT DRIED LOOSE,GREEK DARK SEEDLESS RAISINS (Black Currant),2.0,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/230,2026-04-13,Tasties Trail Mix - Mixed Berries 75 g,GREEK DARK SEEDLESS RAISINS (Black Currant),1.4,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/256,2026-04-13,Tasties Trail Mix - Mixed Berries 75 g,GREEK DARK SEEDLESS RAISINS (Black Currant),1.4,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/235,2026-04-13,Tasties Trail Mix - Mixed Berries 75 g,GREEK DARK SEEDLESS RAISINS (Black Currant),1.1,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/241,2026-04-13,Tasties Trail Mix - Mixed Berries 75 g,GREEK DARK SEEDLESS RAISINS (Black Currant),1.1,
W-202,blackcurrant,-24.9,ADJ-OUT (BOM),CND/26-27/246,2026-04-13,Tasties Trail Mix - Mixed Berries 75 g,GREEK DARK SEEDLESS RAISINS (Black Currant),1.1,
W-202,blackcurrant,-24.9,XFR-OUT,TRANS202605181634,2026-05-18,DRIED BLACK CURRANT,W202→A185 [Received],12.5,
W-202,blackcurrant,-24.9,XFR-OUT,TRANS202604211510,2026-04-21,HA BLACK CURRENT 250G (1340541),W202→F53 [Received],6.0,
