doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_zip,source_pdf,page
INV,CND/26-27/781,12-May-26,CFPL,W-202,Ajfan International Retails LLP (Trichy),MEDJOUL DATES JUMBO,1500.0000,08041020,1875000.00,120526.zip,120526\Ajfan [CFPL] {781} (12th May).pdf,1
INV,CND/26-27/792,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Independence Almonds,1650.0000,08021200,1154884.50,120526.zip,120526\ALIGN [CFPL] {792} (12th May) [Not Final].pdf,1
CN,CF/CN/26-27/65,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,10.0600,20081930,11503.11,120526.zip,120526\ALIGN [CFPL] {CN65} (12th May).pdf,1
CN,CF/CN/26-27/66,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,4.1400,20081930,4733.88,120526.zip,120526\ALIGN [CFPL] {CN66} (12th May).pdf,1
CN,CF/CN/26-27/67,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,6.7000,20081930,7163.64,120526.zip,120526\ALIGN [CFPL] {CN67} (12th May).pdf,1
CN,CF/CN/26-27/68,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,1.9300,20081930,2063.56,120526.zip,120526\ALIGN [CFPL] {CN68} (12th May).pdf,1
INV,CDPL/26-27/71,12-May-26,CDPL,W-202,AVANICCA ROOTS PRIVATE LIMITED,KG AL BARAKAH DATE,100.0000,20079990,26000.00,120526.zip,120526\AVANICCA ROOTS [CDPL] {71} (12th May).pdf,1
CN,CD/CN/26-27/18,12-May-26,CDPL,W-202,Functional and Innovative Foods Limited,Al Barakah Date Powder,300.0000,11063090,109500.00,120526.zip,120526\Functional [CDPL] {CN52} (12th May).pdf,1
INV,CND/26-27/791,12-May-26,CFPL,W-202,M/S GREENDOT HEALTH FOODS PRIVATE LIMITED,Greendot Coated Peanuts,500.0000,20081930,87000.00,120526.zip,120526\Greendot [CFPL] {791} (12th May) [Not Final].pdf,1
INV,CND/26-27/787,12-May-26,CFPL,W-202,Handful of Health Private Limited,Daily Mewa Healthy Mix,500.0000,20089700,310000.00,120526.zip,120526\HOH [CFPL] {PO00146} [787] (12th May).pdf,1
INV,SR/CF/26-27/62,12-May-26,CFPL,W-202,Jagdish Trading Co (Labour),Processing & Packaging 1.S.P. Almonds - 23 Boxes - 227.690kgs (227.690 Kgs @ Rs.16 Per Kg) 10kgs X 22 Boxes 07.690kgs X 01 Box Rej.: 1.167 P/L: 6.143kgs 2.Pista Kernal AB - P - 05 Boxes - 47.409kgs (47.409 Kgs @ Rs.16 Per Kg) 10kgs X 04 Boxes 07.409kgs X 01 Box Dust: 180gm P/L: 411grm Send To APMC [12.05.2026],0.0000,998816,4401.58,120526.zip,120526\JTC [CFPL] {62} [Service Bill] (12th May).pdf,1
INV,CND/26-27/790,12-May-26,CFPL,W-202,Mie Foods India Private Limited,Dark Chocolate Coated Almond Stuffed Khalas Single,875.0000,18069010,273875.00,120526.zip,120526\Mie Foods [CFPL] {790} (12th May) [Not Final].pdf,1
CN,CF/CN/26-27/69,12-May-26,CFPL,W-202,Mie Foods India Private Limited,AL BARAKAH,500.0000,11063090,180000.00,120526.zip,120526\Mie Foods [CFPL] {CN69} (12th May).pdf,1
INV,CND/26-27/785,12-May-26,CFPL,OTHER,PRASHANT CORNER PRIVATE LIMITED,Roasted & Salted,100.0000,20081930,98000.00,120526.zip,120526\Prashant Corner [CFPL] {785} (12th May).pdf,1
INV,CND/26-27/793,12-May-26,CFPL,W-202,Rajguru’s Delight Nuts Foods Pvt. Ltd.,Wet Dates Seedless,1000.0000,08041020,160000.00,120526.zip,120526\Rajguru [CFPL] {793} (12th May).pdf,1
INV,CND/26-27/793,12-May-26,CFPL,W-202,Rajguru’s Delight Nuts Foods Pvt. Ltd.,Wet Dates Zahidi,346.0000,08041020,58820.00,120526.zip,120526\Rajguru [CFPL] {793} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE FARD DATES,1755.0000,08041020,464759.10,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE FLAX SEED 100G,12.0000,20081920,2166.00,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE PUMPKIN SEED 100G,27.0000,20081920,12978.90,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE CHIA SEED 100G,33.0000,12079990,9952.80,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE SUNFLOWER SEED 100G,27.0000,20081920,5926.50,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/782,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL TURKEY APRICOTS 200G,32.0000,08131000,37190.40,120526.zip,120526\RRL [CFPL] {782} (12th May).pdf,1
INV,CND/26-27/782,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL CLASSIC DATES 500G,360.0000,08041020,61020.00,120526.zip,120526\RRL [CFPL] {782} (12th May).pdf,1
INV,CND/26-27/782,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL SLICED CRANBERRIES 100G,56.0000,20089300,28761.60,120526.zip,120526\RRL [CFPL] {782} (12th May).pdf,1
INV,CND/26-27/783,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED(KHURDHA),PL TURKEY APRICOTS 200G,24.0000,08131000,27892.80,120526.zip,120526\RRL [CFPL] {783} (12th May).pdf,1
INV,CND/26-27/783,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED(KHURDHA),PL CALIFORNIA PRUNES 200G,16.0000,08132000,10230.40,120526.zip,120526\RRL [CFPL] {783} (12th May).pdf,1
INV,CND/26-27/783,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED(KHURDHA),PL CLASSIC DATES 500G,352.0000,08041020,59664.00,120526.zip,120526\RRL [CFPL] {783} (12th May).pdf,1
INV,CND/26-27/783,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED(KHURDHA),PL SLICED CRANBERRIES 100G,8.0000,20089300,4108.80,120526.zip,120526\RRL [CFPL] {783} (12th May).pdf,1
INV,CND/26-27/784,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL TURKEY APRICOTS 200G,24.0000,08131000,27892.80,120526.zip,120526\RRL [CFPL] {784} (12th May).pdf,1
INV,CND/26-27/784,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL CLASSIC DATES 500G,336.0000,08041020,56952.00,120526.zip,120526\RRL [CFPL] {784} (12th May).pdf,1
INV,CND/26-27/784,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL SLICED CRANBERRIES 100G,24.0000,20089300,12326.40,120526.zip,120526\RRL [CFPL] {784} (12th May).pdf,1
INV,CND/26-27/789,12-May-26,CFPL,W-202,V R Industries (P) Ltd. (Gurugram),Zahidi Dates,3000.0000,08041020,375000.00,120526.zip,120526\VR Industries [CFPL] {789} (12th May).pdf,1
INV,CND/26-27/703,12-May-26,CFPL,W-202,Avenue E-Commerce Ltd,AL BARAKAH FARD DATES PREMIUM - 500g,24.0000,08041020,7824.00,120526.zip,120526\Old Invoices\Avenue [CFPL] {703} (07th May).pdf,1
INV,CND/26-27/703,12-May-26,CFPL,W-202,Avenue E-Commerce Ltd,AL BARAKAH SAFAVI DATES 500gm,18.0000,08041020,10440.00,120526.zip,120526\Old Invoices\Avenue [CFPL] {703} (07th May).pdf,1
INV,CND/26-27/703,12-May-26,CFPL,W-202,Avenue E-Commerce Ltd,King Solomon Oriental Dates 250g,6.0000,08041020,2640.00,120526.zip,120526\Old Invoices\Avenue [CFPL] {703} (07th May).pdf,1
INV,CND/26-27/703,12-May-26,CFPL,W-202,Avenue E-Commerce Ltd,King Solomon Medjoul Dates 500 Gms,8.0000,08041020,9440.00,120526.zip,120526\Old Invoices\Avenue [CFPL] {703} (07th May).pdf,1
INV,CND/26-27/760,12-May-26,CFPL,W-202,Avenue Supermarts Limited (Chennai),Healthy Choice Roasted Sunflower Seeds 100 g,600.0000,20081920,131927.40,120526.zip,120526\Old Invoices\D-Mart {760}.pdf,1
INV,CND/26-27/760,12-May-26,CFPL,W-202,Avenue Supermarts Limited (Chennai),Healthy Choice Roasted Pumpkin Seeds 100 g,600.0000,20081920,281853.00,120526.zip,120526\Old Invoices\D-Mart {760}.pdf,1
INV,CND/26-27/760,12-May-26,CFPL,W-202,Avenue Supermarts Limited (Chennai),Healthy Choice Roasted Watermelon Seeds 100 g,400.0000,20081920,267300.00,120526.zip,120526\Old Invoices\D-Mart {760}.pdf,1
INV,CND/26-27/760,12-May-26,CFPL,W-202,Avenue Supermarts Limited (Chennai),Healthy Choice Chia Seeds 100 g,350.0000,20081930,94317.30,120526.zip,120526\Old Invoices\D-Mart {760}.pdf,1
INV,CND/26-27/760,12-May-26,CFPL,W-202,Avenue Supermarts Limited (Chennai),Healthy Choice Roasted Sunflower Seeds 200 g,600.0000,20081920,125126.10,120526.zip,120526\Old Invoices\D-Mart {760}.pdf,1
INV,CND/26-27/760,12-May-26,CFPL,W-202,Avenue Supermarts Limited (Chennai),Healthy Choice Roasted Pumpkin Seeds 200 g,600.0000,20081920,275081.40,120526.zip,120526\Old Invoices\D-Mart {760}.pdf,1
INV,CND/26-27/760,12-May-26,CFPL,W-202,Avenue Supermarts Limited (Chennai),Healthy Choice Roasted Watermelon Seeds 200 g,200.0000,20081920,131392.80,120526.zip,120526\Old Invoices\D-Mart {760}.pdf,1
INV,CND/26-27/760,12-May-26,CFPL,W-202,Avenue Supermarts Limited (Chennai),Healthy Choice Chia Seeds 200 g,400.0000,20081930,103276.80,120526.zip,120526\Old Invoices\D-Mart {760}.pdf,1
INV,CND/26-27/760,12-May-26,CFPL,W-202,Avenue Supermarts Limited (Chennai),Healthy Choice 5 in 1 Seeds Mix 200gm,400.0000,20081990,138164.40,120526.zip,120526\Old Invoices\D-Mart {760}.pdf,1
INV,CND/26-27/761,12-May-26,CFPL,OTHER,Avenue Supermarts Limited (Chennai),Premia Breakfast Mix 100g (100005226),100.0000,20081990,70002.90,120526.zip,120526\Old Invoices\D-Mart {761}.pdf,1
INV,CND/26-27/761,12-May-26,CFPL,OTHER,Avenue Supermarts Limited (Chennai),Premia Nuts & Seeds Mix 100g (100005422),75.0000,20081990,44824.73,120526.zip,120526\Old Invoices\D-Mart {761}.pdf,1
INV,CND/26-27/761,12-May-26,CFPL,OTHER,Avenue Supermarts Limited (Chennai),Premia Trail Mix 100g ( 100005227),100.0000,20081990,89793.00,120526.zip,120526\Old Invoices\D-Mart {761}.pdf,1
INV,CND/26-27/766,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 100 g,250.0000,20081920,54969.75,120526.zip,120526\Old Invoices\D-Mart {766}.pdf,1
INV,CND/26-27/766,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 100 g,325.0000,20081920,152670.38,120526.zip,120526\Old Invoices\D-Mart {766}.pdf,1
INV,CND/26-27/766,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 100 g,100.0000,20081920,66825.00,120526.zip,120526\Old Invoices\D-Mart {766}.pdf,1
INV,CND/26-27/766,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 100 g,350.0000,20081930,94317.30,120526.zip,120526\Old Invoices\D-Mart {766}.pdf,1
INV,CND/26-27/766,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 200 g,500.0000,20081920,229234.50,120526.zip,120526\Old Invoices\D-Mart {766}.pdf,1
INV,CND/26-27/766,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 200 g,600.0000,20081930,154915.20,120526.zip,120526\Old Invoices\D-Mart {766}.pdf,1
INV,CND/26-27/766,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice 5 in 1 Seeds Mix 200gm,500.0000,20081990,172705.50,120526.zip,120526\Old Invoices\D-Mart {766}.pdf,1
INV,CND/26-27/769,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Dried Cranberry 100gm,96.0000,20089300,59808.67,120526.zip,120526\Old Invoices\D-Mart {769}.pdf,1
INV,CND/26-27/769,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Dried Blueberry 100gm,72.0000,20060000,105929.21,120526.zip,120526\Old Invoices\D-Mart {769}.pdf,1
INV,CND/26-27/770,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Breakfast Mix 100g (100005226),50.0000,20081990,35001.45,120526.zip,120526\Old Invoices\D-Mart {770}.pdf,1
INV,CND/26-27/770,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Nuts & Seeds Mix 100g (100005422),100.0000,20081990,59766.30,120526.zip,120526\Old Invoices\D-Mart {770}.pdf,1
INV,CND/26-27/770,12-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Trail Mix 100g ( 100005227),50.0000,20081990,44896.50,120526.zip,120526\Old Invoices\D-Mart {770}.pdf,1
INV,CND/26-27/779,12-May-26,CFPL,W-202,ENTERPRISING MAA PRIVATE LIMITED,Dryfruit Instant Energy Laddubar Bites 9gm,786.0000,21069099,451950.00,120526.zip,120526\Old Invoices\EMPL [CFPL] {779} (11th May).pdf,1
INV,,16-Apr-26,CFPL,W-202,,Wet Dates Seedless Safavi,794.5000,08041020,543874.98,120526.zip,120526\Old Invoices\Krishna Enterprises [CFPL] {Material Out} [14] (16th Apr) [Revised].pdf,1
INV,CND/26-27/817,13-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Anjeer (Figs),640.0000,08042090,559468.80,130526.zip,130526\ALIGN [CFPL] {817} (13th May).pdf,1
INV,CND/26-27/798,13-May-26,CFPL,W-202,ASHAPURA AGROCOMM PRIVATE LIMITED,PM24-Good Life Arabian Dates Pouch 500 gm,0.0000,39232990,87720.00,130526.zip,130526\Ashapura Agrocom [CFPL] {798} (13th May).pdf,1
INV,CND/26-27/808,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 100 g,250.0000,20081920,54969.75,130526.zip,130526\D-Mart {808}.pdf,1
INV,CND/26-27/808,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 100 g,400.0000,20081920,187902.00,130526.zip,130526\D-Mart {808}.pdf,1
INV,CND/26-27/808,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 100 g,250.0000,20081920,167062.50,130526.zip,130526\D-Mart {808}.pdf,1
INV,CND/26-27/808,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 100 g,300.0000,20081930,80843.40,130526.zip,130526\D-Mart {808}.pdf,1
INV,CND/26-27/808,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 200 g,150.0000,20081920,31281.53,130526.zip,130526\D-Mart {808}.pdf,1
INV,CND/26-27/808,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 200 g,400.0000,20081920,183387.60,130526.zip,130526\D-Mart {808}.pdf,1
INV,CND/26-27/808,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 200 g,200.0000,20081920,131392.80,130526.zip,130526\D-Mart {808}.pdf,1
INV,CND/26-27/808,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 200 g,300.0000,20081930,77457.60,130526.zip,130526\D-Mart {808}.pdf,1
INV,CND/26-27/808,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice 5 in 1 Seeds Mix 200gm,600.0000,20081990,207246.60,130526.zip,130526\D-Mart {808}.pdf,1
INV,CND/26-27/809,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Dried Cranberry 100gm,72.0000,20089300,44856.50,130526.zip,130526\D-Mart {809}.pdf,1
INV,CND/26-27/809,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Dried Blueberry 100gm,96.0000,20060000,141238.94,130526.zip,130526\D-Mart {809}.pdf,1
INV,CND/26-27/810,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Breakfast Mix 100g (100005226),50.0000,20081990,35001.45,130526.zip,130526\D-Mart {810}.pdf,1
INV,CND/26-27/810,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Nuts & Seeds Mix 100g (100005422),50.0000,20081990,29883.15,130526.zip,130526\D-Mart {810}.pdf,1
INV,CND/26-27/810,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Trail Mix 100g ( 100005227),100.0000,20081990,89793.00,130526.zip,130526\D-Mart {810}.pdf,1
INV,CND/26-27/810,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Prunes 100gm,100.0000,08132000,64963.80,130526.zip,130526\D-Mart {810}.pdf,1
INV,CND/26-27/811,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Healthy Choice Roasted Sunflower Seeds 100 g,200.0000,20081920,43975.80,130526.zip,130526\D-Mart {811} [Not Final].pdf,1
INV,CND/26-27/811,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Healthy Choice Roasted Pumpkin Seeds 100 g,200.0000,20081920,93951.00,130526.zip,130526\D-Mart {811} [Not Final].pdf,1
INV,CND/26-27/811,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Healthy Choice Roasted Watermelon Seeds 100 g,200.0000,20081920,133650.00,130526.zip,130526\D-Mart {811} [Not Final].pdf,1
INV,CND/26-27/811,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Healthy Choice Chia Seeds 100 g,250.0000,20081930,67369.50,130526.zip,130526\D-Mart {811} [Not Final].pdf,1
INV,CND/26-27/811,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Healthy Choice Roasted Sunflower Seeds 200 g,300.0000,20081920,62563.05,130526.zip,130526\D-Mart {811} [Not Final].pdf,1
INV,CND/26-27/811,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Healthy Choice Roasted Pumpkin Seeds 200 g,300.0000,20081920,137540.70,130526.zip,130526\D-Mart {811} [Not Final].pdf,1
INV,CND/26-27/811,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Healthy Choice Roasted Watermelon Seeds 200 g,300.0000,20081920,197089.20,130526.zip,130526\D-Mart {811} [Not Final].pdf,1
INV,CND/26-27/811,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Healthy Choice Chia Seeds 200 g,200.0000,20081930,51638.40,130526.zip,130526\D-Mart {811} [Not Final].pdf,1
INV,CND/26-27/811,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Healthy Choice 5 in 1 Seeds Mix 200gm,200.0000,20081990,69082.20,130526.zip,130526\D-Mart {811} [Not Final].pdf,1
INV,CND/26-27/812,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Dried Cranberry 100gm,72.0000,20089300,44856.50,130526.zip,130526\D-Mart {812} [Not Final].pdf,1
INV,CND/26-27/812,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Dried Blueberry 100gm,24.0000,20060000,35309.74,130526.zip,130526\D-Mart {812} [Not Final].pdf,1
INV,CND/26-27/813,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Premia Breakfast Mix 100g (100005226),50.0000,20081990,35001.45,130526.zip,130526\D-Mart {813} [Not Final].pdf,1
INV,CND/26-27/813,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Premia Nuts & Seeds Mix 100g (100005422),50.0000,20081990,29883.15,130526.zip,130526\D-Mart {813} [Not Final].pdf,1
INV,CND/26-27/813,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Premia Trail Mix 100g ( 100005227),50.0000,20081990,44896.50,130526.zip,130526\D-Mart {813} [Not Final].pdf,1
INV,CND/26-27/813,13-May-26,CFPL,W-202,Avenue Supermarts Limited (9841),Premia Prunes 100gm,100.0000,08132000,64963.80,130526.zip,130526\D-Mart {813} [Not Final].pdf,1
INV,CND/26-27/814,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Healthy Choice Roasted Sunflower Seeds 100 g,250.0000,20081920,54969.75,130526.zip,130526\D-Mart {814} [Not Final].pdf,1
INV,CND/26-27/814,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Healthy Choice Roasted Pumpkin Seeds 100 g,1000.0000,20081920,469755.00,130526.zip,130526\D-Mart {814} [Not Final].pdf,1
INV,CND/26-27/814,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Healthy Choice Roasted Watermelon Seeds 100 g,250.0000,20081920,167062.50,130526.zip,130526\D-Mart {814} [Not Final].pdf,1
INV,CND/26-27/814,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Healthy Choice Chia Seeds 100 g,500.0000,20081930,134739.00,130526.zip,130526\D-Mart {814} [Not Final].pdf,1
INV,CND/26-27/814,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Healthy Choice Roasted Sunflower Seeds 200 g,500.0000,20081920,104271.75,130526.zip,130526\D-Mart {814} [Not Final].pdf,1
INV,CND/26-27/814,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Healthy Choice Roasted Pumpkin Seeds 200 g,500.0000,20081920,229234.50,130526.zip,130526\D-Mart {814} [Not Final].pdf,1
INV,CND/26-27/814,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Healthy Choice Roasted Watermelon Seeds 200 g,200.0000,20081920,131392.80,130526.zip,130526\D-Mart {814} [Not Final].pdf,1
INV,CND/26-27/814,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Healthy Choice Chia Seeds 200 g,300.0000,20081930,77457.60,130526.zip,130526\D-Mart {814} [Not Final].pdf,1
INV,CND/26-27/814,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Healthy Choice 5 in 1 Seeds Mix 200gm,1000.0000,20081990,345411.00,130526.zip,130526\D-Mart {814} [Not Final].pdf,1
INV,CND/26-27/815,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Dried Cranberry 100gm,24.0000,20089300,14952.17,130526.zip,130526\D-Mart {815} [Not Final].pdf,1
INV,CND/26-27/815,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Dried Blueberry 100gm,168.0000,20060000,247168.15,130526.zip,130526\D-Mart {815} [Not Final].pdf,1
INV,CND/26-27/815,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Abjosh (Munakka) 100gm,250.0000,08062010,233194.50,130526.zip,130526\D-Mart {815} [Not Final].pdf,1
INV,CND/26-27/816,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Premia Breakfast Mix 100g (100005226),50.0000,20081990,35001.45,130526.zip,130526\D-Mart {816} [Not Final].pdf,1
INV,CND/26-27/816,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Premia Nuts & Seeds Mix 100g (100005422),50.0000,20081990,29883.15,130526.zip,130526\D-Mart {816} [Not Final].pdf,1
INV,CND/26-27/816,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Premia Trail Mix 100g ( 100005227),50.0000,20081990,44896.50,130526.zip,130526\D-Mart {816} [Not Final].pdf,1
INV,CND/26-27/816,13-May-26,CFPL,W-202,Avenue Supermarts Limited (Jaipur),Premia Prunes 100gm,50.0000,08132000,32481.90,130526.zip,130526\D-Mart {816} [Not Final].pdf,1
INV,CND/26-27/820,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 200 g,10.0000,20081920,2085.44,130526.zip,130526\D-Mart {820}.pdf,1
INV,CND/26-27/820,13-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 200 g,60.0000,20081920,27508.14,130526.zip,130526\D-Mart {820}.pdf,1
INV,CDPL/26-27/73,13-May-26,CDPL,W-202,FRESHCO FOOD AND BEVERAGES,Al Barakah Date Powder,60.0000,11063090,24000.00,130526.zip,130526\FRESHCO [CDPL] {73} (13th May).pdf,1
INV,,13-May-26,CFPL,W-202,,Sukkary Dates,1330.0000,08041020,476140.00,130526.zip,130526\GOEL ASSOCIATES {Material Out} [25] (13th May).pdf,1
INV,,13-May-26,CFPL,W-202,,Wet Dates Khalas,3000.0000,08041020,354390.00,130526.zip,130526\HAG CORPORATION {Material Out} [24] (13th May).pdf,1
INV,CND/26-27/806,13-May-26,CFPL,W-202,Handful of Health Private Limited,Pepper Cashew,150.0000,20081910,135000.00,130526.zip,130526\HOH [CFPL] {PO00146} [806] (13th May) [Not Final].pdf,1
INV,CND/26-27/806,13-May-26,CFPL,W-202,Handful of Health Private Limited,Masala Cashew,150.0000,20081910,135000.00,130526.zip,130526\HOH [CFPL] {PO00146} [806] (13th May) [Not Final].pdf,1
INV,CND/26-27/795,13-May-26,CFPL,W-202,Mie Foods India Private Limited,Dark Chocolate Coated Almond Stuffed Khalas Single,500.0000,18069010,156500.00,130526.zip,130526\Mie Foods [CFPL] {795} (13th May).pdf,1
INV,CND/26-27/795,13-May-26,CFPL,W-202,Mie Foods India Private Limited,Dark Chocolate Coated Cashew Stuffed Khalas Single,500.0000,18069010,156500.00,130526.zip,130526\Mie Foods [CFPL] {795} (13th May).pdf,1
INV,CND/26-27/796,13-May-26,CFPL,W-202,Mie Foods India Private Limited,AL BARAKAH,500.0000,11063090,180000.00,130526.zip,130526\Mie Foods [CFPL] {796} (13th May).pdf,1
INV,CND/26-27/805,13-May-26,CFPL,W-202,Naresh Chand Vipul Kumar,King Solomon Medjoul Dates 500 Gms,800.0000,08041020,848000.00,130526.zip,130526\Naresh Chand [CFPL] {805} (13th May).pdf,1
INV,CND/26-27/807,13-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),Natures Cashew Reg 200 Gm ( 1411653 ),42.6000,08013220,42634.08,130526.zip,130526\Natures [CFPL] {807} (13th May).pdf,1
INV,CND/26-27/807,13-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),Natures American Almonds 1 KG (1416275),215.0000,08021200,195099.60,130526.zip,130526\Natures [CFPL] {807} (13th May).pdf,1
INV,CND/26-27/807,13-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),HA APRICOT - JARDALOO 200g (1340540),24.0000,08131000,23575.20,130526.zip,130526\Natures [CFPL] {807} (13th May).pdf,1
INV,CND/26-27/807,13-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),Ha Akbari Pista 200g ( 1357005),24.0000,20081920,48462.00,130526.zip,130526\Natures [CFPL] {807} (13th May).pdf,1
INV,CND/26-27/807,13-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),Ha Brazil Nut 200g ( 1340533),21.6000,08012200,75763.08,130526.zip,130526\Natures [CFPL] {807} (13th May).pdf,1
