doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_zip,source_pdf,page
INV,CND/26-27/499,25-Apr-26,CFPL,W-202,Avenue Supermarts Ltd.,Premia Cashew Salted,50.4000,20081910,49946.40,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {499} [Not Final].pdf,1
INV,CND/26-27/499,25-Apr-26,CFPL,W-202,Avenue Supermarts Ltd.,Premia Cashew Black Pepper 100 Gm,50.4000,20081910,50037.12,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {499} [Not Final].pdf,1
INV,CND/26-27/499,25-Apr-26,CFPL,W-202,Avenue Supermarts Ltd.,Premia Almond Salted,79.2000,20081930,73450.08,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {499} [Not Final].pdf,1
INV,CND/26-27/499,25-Apr-26,CFPL,W-202,Avenue Supermarts Ltd.,PREMIA ALMONDS SMOKD-100G,50.4000,20081930,46962.72,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {499} [Not Final].pdf,1
INV,CND/26-27/499,25-Apr-26,CFPL,W-202,Avenue Supermarts Ltd.,Premia Chatpata Cranberry 100gm,199.2000,20089999,118464.24,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {499} [Not Final].pdf,1
INV,CND/26-27/500,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 100 g,250.0000,20081920,54969.75,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {500} [Not Final].pdf,1
INV,CND/26-27/500,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 100 g,500.0000,20081920,234877.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {500} [Not Final].pdf,1
INV,CND/26-27/500,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 100 g,250.0000,20081920,167062.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {500} [Not Final].pdf,1
INV,CND/26-27/500,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 100 g,500.0000,20081930,134739.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {500} [Not Final].pdf,1
INV,CND/26-27/500,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 200 g,1500.0000,20081920,312815.25,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {500} [Not Final].pdf,1
INV,CND/26-27/500,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 200 g,1500.0000,20081920,687703.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {500} [Not Final].pdf,1
INV,CND/26-27/500,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 200 g,800.0000,20081920,525571.20,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {500} [Not Final].pdf,1
INV,CND/26-27/500,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 200 g,200.0000,20081930,51638.40,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {500} [Not Final].pdf,1
INV,CND/26-27/501,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Dried Cranberry 100gm,120.0000,20089300,74760.84,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {501} [Not Final].pdf,1
INV,CND/26-27/501,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Dried Blueberry 100gm,36.0000,20060000,52964.60,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {501} [Not Final].pdf,1
INV,CND/26-27/502,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Premia Breakfast Mix 100g (100005226),100.0000,20081990,70002.90,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {502} [Not Final].pdf,1
