doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_pdf,page
CN,CF/CN/26-27/27,17-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,6.8600,20081930,7871.23,CFPL_CN,33
CN,CF/CN/26-27/28,17-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,3.8200,20081930,4383.11,CFPL_CN,34
CN,CF/CN/26-27/29,17-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,5.7600,20081930,6609.08,CFPL_CN,35
CN,CF/CN/26-27/30,18-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Premia Prunes 100gm,25.0000,08132000,16115.00,CFPL_CN,36
CN,CF/CN/26-27/31,18-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Premia Breakfast Mix 100g (100005226),0.9000,20081990,629.37,CFPL_CN,37
CN,CF/CN/26-27/32,20-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,2000.0000,20081930,2122560.00,CFPL_CN,38
CN,CF/CN/26-27/33,20-Apr-26,CFPL,W-202,RELIANCE RETAIL LIMITED,NUTWORKS FINGER LIME & JALAPENO 75G PCH,3.6000,20081999,12067.20,CFPL_CN,39
CN,CF/CN/26-27/34,20-Apr-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL CLASSIC DATES 500G,8.0000,08041020,1356.00,CFPL_CN,40
CN,CF/CN/26-27/35,20-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),NUTWORKS ROSEMARY & SEASALT 75G PCH,3.6000,20081999,12067.20,CFPL_CN,41
CN,CF/CN/26-27/36,20-Apr-26,CFPL,W-202,Reliance Retail Limited,NUTWORKS ROSEMARY & SEASALT 75G PCH,1.8000,20081999,6024.00,CFPL_CN,42
CN,CF/CN/26-27/36,20-Apr-26,CFPL,W-202,Reliance Retail Limited,NUTWORKS FINGER LIME & JALAPENO 75G PCH,1.8000,20081999,6024.00,CFPL_CN,42
CN,CF/CN/26-27/36,20-Apr-26,CFPL,W-202,Reliance Retail Limited,MACSNACK DRYRST MCADAMIAMUNCHIE 200G PCH,4.8000,20081930,13152.00,CFPL_CN,42
CN,CF/CN/26-27/36,20-Apr-26,CFPL,W-202,Reliance Retail Limited,MACSNACK DRYRST MCADAMIAMUNCHIE 100G PCH,2.4000,20081930,7320.00,CFPL_CN,42
CN,CF/CN/26-27/36,20-Apr-26,CFPL,W-202,Reliance Retail Limited,MACSNACK R&S MACADAMIA MUNCHIES 200G PCH,4.8000,20081930,13488.00,CFPL_CN,42
CN,CF/CN/26-27/37,29-Apr-26,CFPL,W-202,Ajfan International Retails LLP (Trichy),Cheese Cashew 2.82 Kg @ Rs.1040/-,0.0000,20081910,2932.80,CFPL_CN,46
CN,CF/CN/26-27/38,24-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),PL CLASSIC DATES 500G,8.0000,08041020,1356.00,CFPL_CN,47
CN,CF/CN/26-27/39,25-Apr-26,CFPL,W-202,Evergreen Food Industries (F2C) LLC,SS 304 Table,0.0000,72042100,194446.00,CFPL_CN,48
CN,CF/CN/26-27/39,25-Apr-26,CFPL,W-202,Evergreen Food Industries (F2C) LLC,Capital Item,0.0000,90318000,305554.00,CFPL_CN,48
CN,CF/CN/26-27/40,29-Apr-26,CFPL,W-202,Avenue Supermarts Ltd.,Premia Cashew Black Pepper 100 Gm,12.0000,20081910,11913.60,CFPL_CN,49
CN,CF/CN/26-27/41,29-Apr-26,CFPL,W-202,Avenue Supermarts Ltd ( Dc Banergatta ),Premia Chatpata Cranberry 100gm,2.4000,20089999,1427.28,CFPL_CN,50
CN,CF/CN/26-27/42,27-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,7.3800,20081930,7832.25,CFPL_CN,51
CN,CF/CN/26-27/43,27-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,6.6900,20081930,7676.17,CFPL_CN,52
CN,CF/CN/26-27/44,27-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,American Almonds,15.9000,08021200,12293.72,CFPL_CN,53
CN,CF/CN/26-27/45,29-Apr-26,CFPL,W-202,Reliance Consumer Products Limited,GOOD LIFE FLAX SEED 100G,279.0000,20081920,48015.90,CFPL_CN,54
CN,CF/CN/26-27/46,29-Apr-26,CFPL,W-202,Reliance Consumer Products Limited,GOOD LIFE FLAX SEED 100G,48.0000,20081920,8260.80,CFPL_CN,55
CN,CF/CN/26-27/47,28-Apr-26,CFPL,W-202,Reliance Retail Limited,PL TURKEY APRICOTS 200G,16.0000,08131000,18595.20,CFPL_CN,56
CN,CF/CN/26-27/48,30-Apr-26,CFPL,W-202,More Retail Private Limited (Bangalore),Vedaka Fresh Dates 500g (102219254),60.0000,08041020,18840.00,CFPL_CN,57
CN,CF/CN/26-27/49,30-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Anjeer (Figs),770.0000,08042090,673110.90,CFPL_CN,58
CN,CF/CN/26-27/50,4-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Chatpata Cranberry 100gm,12.0000,20089999,7088.40,CFPL_CN,59
CN,CF/CN/26-27/51,4-May-26,CFPL,W-202,Avenue Supermarts Limited (Dc Antariksh ),Premia Cashew Salted,9.6000,20081910,9413.76,CFPL_CN,60
CN,CF/CN/26-27/52,4-May-26,CFPL,W-202,Avenue Supermarts Limited,QWIKSNAX CRANBERRIES CHTPTA MIX-30G,1.2000,20089300,766.00,CFPL_CN,61
CN,CF/CN/26-27/53,4-May-26,CFPL,W-202,Avenue Supermarts Limited (Dc Antariksh ),Premia Nuts & Seeds Mix 100g (100005422),150.0000,20081990,89649.45,CFPL_CN,62
CN,CF/CN/26-27/54,4-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,5.8800,20081930,6723.49,CFPL_CN,63
CN,CF/CN/26-27/55,4-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,5.1400,20081930,5877.33,CFPL_CN,64
CN,CF/CN/26-27/56,4-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,4.7300,20081930,5408.52,CFPL_CN,65
CN,CND/26,5-May-26,CFPL,W-202,Avenue Supermarts Limited (Dc Antariksh ),PREMIA ALMONDS SMOKD-100G,4.8000,20081930,4421.76,CFPL_CN,66
CN,CF/CN/26-27/58,5-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Anjeer (Figs),600.0000,08042090,524502.00,CFPL_CN,67
CN,CF/CN/26-27/59,5-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Anjeer (Figs),82.5000,08042090,72119.03,CFPL_CN,68
CN,CF/CN/26-27/60,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Cashew Salted,31.2000,20081910,30919.20,CFPL_CN,69
CN,CF/CN/26-27/60,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Chatpata Cranberry 100gm,100.8000,20089999,59945.76,CFPL_CN,69
CN,CF/CN/26-27/61,6-May-26,CFPL,W-202,RAJASTHAN TRADING CORPORATION,Hazelnut Blanched,100.0000,08022200,202500.00,CFPL_CN,71
CN,CD/CN/26-27/1,2-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES KIMIA IMP IRAN 500G,610.0000,08041020,204960.00,CDPL_CN,1
CN,CD/CN/26-27/2,30-Apr-26,CDPL,W-202,Glorious Enterprise,AL BARAKAH KHALAS DATES 500 Gm,0.0000,08041020,25230.00,CDPL_CN,2
CN,CD/CN/26-27/3,30-Apr-26,CDPL,W-202,Glorious Enterprise,Al Barakah Kimia Dates,0.0000,08041020,54000.00,CDPL_CN,3
CN,CD/CN/26-27/3,30-Apr-26,CDPL,W-202,Glorious Enterprise,Al Barakah Kimia Dates,0.0000,08041020,15540.00,CDPL_CN,3
CN,CD/CN/26-27/3,30-Apr-26,CDPL,W-202,Glorious Enterprise,"Al Barakah Kimia Dates Damaged 81,015.00",0.0000,08041020,11475.00,CDPL_CN,3
CN,CD/CN/26-27/4,8-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES KIMIA IMP IRAN 500G,500.0000,08041020,168000.00,CDPL_CN,5
CN,CD/CN/26-27/5,9-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES KIMIA IMP IRAN 500G,700.0000,08041020,235200.00,CDPL_CN,7
CN,CD/CN/26-27/6,10-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES KIMIA IMP IRAN 500G,610.0000,08041020,204960.00,CDPL_CN,8
CN,CD/CN/26-27/7,11-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES FARD IMP OMAN 500G,20.0000,08041020,6800.00,CDPL_CN,9
CN,CD/CN/26-27/8,16-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES FARD IMP OMAN 500G,20.0000,08041020,6800.00,CDPL_CN,10
CN,CD/CN/26-27/9,27-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES KIMIA IMP IRAN 500G,400.0000,08041020,134400.00,CDPL_CN,11
CN,CD/CN/26-27/10,27-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES KIMIA IMP IRAN 500G,310.0000,08041020,104160.00,CDPL_CN,12
CN,CD/CN/26-27/11,30-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES KIMIA IMP IRAN 500G,340.0000,08041020,114240.00,CDPL_CN,13
CN,CD/CN/26-27/12,30-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES ORIENTAL IMP ISREL 500G,50.0000,08041020,23200.00,CDPL_CN,14
CN,CD/CN/26-27/13,30-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES FARD IMP OMAN 500G,50.0000,08041020,17000.00,CDPL_CN,15
CN,CD/CN/26-27/14,7-May-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES KIMIA IMP IRAN 500G,620.0000,08041020,208320.00,CDPL_CN,16
CN,CD/CN/26-27/15,7-May-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES ORIENTAL IMP ISREL 500G,40.0000,08041020,18560.00,CDPL_CN,17
CN,CD/CN/26-27/16,7-May-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES FARD IMP OMAN 500G,40.0000,08041020,13600.00,CDPL_CN,18
CN,CD/CN/26-27/18,12-May-26,CDPL,W-202,Functional and Innovative Foods Limited,Al Barakah Date Powder,300.0000,11063090,109500.00,CDPL_CN,19
CN,CD/CN/26-27/19,13-May-26,CDPL,W-202,Sarah International,Al Barakah Fard Dates,230.0000,08041020,43700.00,CDPL_CN,20
INV,CF53/2627/00001,7-Apr-26,CFPL,F-53,MUKHI BHANDAR,AL BARAKAH DATES SYRUP (400G Packing),0.0000,20079990,1560.00,APMC_INV,1
INV,CF53/2627/00002,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH FARD DATES PREMIUM - 500g,30.0000,08041020,7722.00,APMC_INV,2
INV,CF53/2627/00002,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Khanezi Dates 500gm,30.0000,08041020,7425.00,APMC_INV,2
INV,CF53/2627/00002,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH KHALAS DATES 500 Gm,40.0000,08041020,5544.00,APMC_INV,2
INV,CF53/2627/00002,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH PREMIUM SEEDLESS DATES 500G,16.0000,08041020,2217.60,APMC_INV,2
INV,CF53/2627/00002,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Premium Emirate Date Seedless 500gm,24.0000,08041020,4276.80,APMC_INV,3
INV,CF53/2627/00003,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Premium Emirate Date Seedless 500gm,16.0000,08041020,2851.20,APMC_INV,4
INV,CF53/2627/00003,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Kimia Dates 500 Gm,12.0000,08041020,3682.80,APMC_INV,5
INV,CF53/2627/00004,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH DATES SYRUP (400G Packing),0.0000,20079990,1425.60,APMC_INV,6
INV,CF53/2627/00004,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Pumpkin Seed ( 5% ),12.5000,12129990,4826.25,APMC_INV,6
INV,CF53/2627/00004,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Sunflower Seeds,12.5000,12060010,1806.75,APMC_INV,7
