entity,fg,fg_salegroup,case,sfg
cdpl,Al Barakaha Safavi Dates 500g,DATES RPC,NO_SFG_plain_repack,
cfpl,Almond Apricot and Seeds Date Balls 48 gms,VA,SFG_blend,Almond Apricot and Seeds Date Balls Bulk
cfpl,Almond Blanched Sliced,Bulk,NO_SFG_rm_stockitem,
cfpl,"Almond Blanched, whole",Bulk,NO_SFG_rm_stockitem,
cfpl,Almond Cranberry Black currant and seeds Date Balls 48 gms,VA,SFG_blend,Almond Cranberry Black currant and seeds Date Balls Bulk
cfpl,Almond Flavoured Cajun Loose,VA,SFG_mint_va,American Almonds Running 25-27 count Bulk (Cajun)
cfpl,Almond Flavoured Smoked Paprika Loose,VA,SFG_blend,Almond Flavoured Smoked Paprika Loose Bulk
cdpl,Almond Inshell,NA,NO_SFG_plain_repack,
cfpl,Almond Kernal 150gm,RPC,NO_SFG_plain_repack,
cfpl,Almond Kernal 450gm,RPC,NO_SFG_plain_repack,
cdpl,Almond Kernel,Bulk,NO_SFG_rm_stockitem,
cfpl,Almond Masala,VA,SFG_blend,Almond Masala Bulk
cfpl,Almond Peri Peri,VA,SFG_blend,Almond Peri Peri Bulk
cfpl,Almond Plain 75gm,RPC,NO_SFG_plain_repack,
cfpl,Almond Roasted,Bulk,SFG_mint_va,Roasted American Almonds Running 25-27 count Bulk
cfpl,Almond Selected 230g,RPC,NO_SFG_plain_repack,
cfpl,Almond Sliced,VA,NO_SFG_rm_stockitem,
cfpl,Almonds Halves Loose,Bulk,NO_SFG_plain_repack,
cfpl,Almonds Kernel Cube Cut,Bulk,NO_SFG_rm_stockitem,
cfpl,Alpino Peanut Crackers Chipotle Honey 60g,VA,SFG_reuse_intermediate,Peanut Crackers Chipotle Honey Bulk
cfpl,Alpino Peanut Crackers Smokey BBQ 60g,VA,SFG_reuse_intermediate,Peanut Crackers Smokey BBQ Bulk
cfpl,Amary Dates 250g (1356293),DATES RPC,NO_SFG_plain_repack,
cfpl,Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),VA,SFG_blend,Vedaka Premium Dry Fruits Combo Gift Box Bulk
cfpl,Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,RPC,NO_SFG_plain_repack,
cfpl,Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),VA,SFG_blend,Nuts Berries and Seed Mix Bulk
cfpl,Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),VA,SFG_blend,Vedaka Dryfruits and Berries Mix Bulk
cfpl,Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),VA,SFG_blend,Vedaka Dryfruits and Nut Mix Bulk
cfpl,Amazon Brand- Vedaka Dry Dates powder 200g,DATES ING,SFG_reuse_intermediate,DEHYDRATED DATE POWDER - BULK PACK
cfpl,American Almonds (23-25 Count),Bulk,NO_SFG_rm_stockitem,
cfpl,American Almonds (24-25 Count),Bulk,NO_SFG_rm_stockitem,
cfpl,American Almonds Running 25-27 count,Bulk,NO_SFG_rm_stockitem,
cfpl,American Almonds Tukda,Bulk,NO_SFG_rm_stockitem,
cfpl,American Pecan 50gm,RPC,NO_SFG_plain_repack,
cfpl,Anjeer (Figs),Bulk,NO_SFG_rm_stockitem,
cfpl,Anjeer 1*2 75gm,RPC,NO_SFG_plain_repack,
cfpl,Antioxidant Mix 33gm,VA,SFG_blend,Antioxidant Mix Bulk
cfpl,Antioxidant Mix 35gm,VA,SFG_blend,Antioxidant Mix Bulk
cfpl,Apollo Life Arabian Dates 500g,DATES RPC,NO_SFG_plain_repack,
cfpl,Apricot Kernel,Bulk,NO_SFG_rm_stockitem,
cfpl,Ar Barakah Fard Dates 1kg,DATES RPC,NO_SFG_plain_repack,
cfpl,Azmah Dates 500 Gms (110002703),DATES RPC,SFG_blend,Azmah Dates Bulk
cfpl,BB Royal Ajwa Dates 500g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Black Current 250g,RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dates - Ajwa 250g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dates - Deri 500 g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dates - Golden 500 g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dates - Mazafati 250g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dates - Medjool 250g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dates - Omani 250g,DATES RPC,NO_SFG_plain_repack,
cfpl,"BB Royal Dates - Red, Seedless 250 g",DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dates - Safawi 250g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dates - Zahidi 500 g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dried Blue Berries 100g,RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dried Blue Berries 250g,RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dried Cran Berries 100g,RPC,NO_SFG_plain_repack,
cfpl,BB Royal Dried Cran Berry 250g,RPC,NO_SFG_plain_repack,
cfpl,BB Royal Mazafati Dates 500g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Medjool Dates 500g,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Red Dates - With Seeds 500gm,DATES RPC,NO_SFG_plain_repack,
cfpl,BB Royal Safavi Dates 500g,DATES RPC,NO_SFG_plain_repack,
cfpl,BBroyal Black Current 100g,RPC,NO_SFG_plain_repack,
cfpl,BLACK PEPPER CASHEW,VA,SFG_blend,BLACK PEPPER CASHEW Bulk
cfpl,BLISSFUL CELEBRATION 360gm,VA,NO_SFG_assembly,
cfpl,Banarasi Box Hamper 03,VA,NO_SFG_hamper,
cfpl,Barbeque Almonds,VA,SFG_mint_va,American Almonds Running 25-27 count Bulk (Barbeque)
cfpl,Barbeque Cashew,VA,SFG_blend,Barbeque Cashew Bulk
cfpl,Barbeque Cashew Bulk,VA,SFG_already_bulk,Barbeque Cashew Bulk
cfpl,Barbeque Coated Peanuts 60gm,VA,SFG_blend,Barbeque Coated Peanuts Bulk
cfpl,Barbeque Macadamia,VA,SFG_blend,Barbeque Macadamia Bulk
cfpl,Barbeque Makhana,VA,SFG_mint_va,Makhana Bulk (Barbeque)
cfpl,Bb Royal Omani Dates 500gm,DATES RPC,NO_SFG_plain_repack,
cfpl,Berry Mix,VA,SFG_blend,Berry Mix Bulk
cfpl,Black Pepper Almonds,VA,SFG_blend,Black Pepper Almonds Bulk
cfpl,Black Pepper Cashew Bulk,VA,SFG_already_bulk,Black Pepper Cashew Bulk
cfpl,Black Pepper Macadamia Trail Mix,VA,SFG_blend,Black Pepper Macadamia Trail Mix Bulk
cfpl,Black Pepper Nutty Seed Mix 250gm,VA,SFG_blend,Black Pepper Nutty Seed Mix Bulk
cfpl,Black Pepper Pecannut,VA,SFG_blend,Black Pepper Pecannut Bulk
cfpl,Blackcurrant Date Balls 48 gms,VA,SFG_blend,Blackcurrant Date Balls Bulk
cfpl,Blueberries 230g,RPC,NO_SFG_plain_repack,
cfpl,Blueberries 75gm,RPC,NO_SFG_plain_repack,
cfpl,Booster Berries 33gm,VA,SFG_blend,Booster Berries Bulk
cfpl,Booster Berries 35gm,VA,SFG_blend,Booster Berries Bulk
cfpl,Brazil Nuts,Bulk,NO_SFG_rm_stockitem,
cfpl,Breakfast Mix Bulk,VA,SFG_already_bulk,Breakfast Mix Bulk
cfpl,CA GOA PRE CASHEW 230GM/P,RPC,NO_SFG_plain_repack,
cfpl,CA INDIAN PREMIUM QUALITY RAISINS 150/P,RPC,NO_SFG_plain_repack,
cfpl,CA PREMIUM ALMOND CALIFORNIA 218GM/P,RPC,NO_SFG_plain_repack,
cfpl,CA PREMIUM DRY CANBERRY 230GM/P,RPC,NO_SFG_plain_repack,
cfpl,CA PREMIUM PINSHROSTSALTIRANIPISTA15 /P,VA,SFG_mint_va,Pista Irani 101 Inshell Bulk
cfpl,CA WALNUT CHILE (VACUUM PACKING)250GM /P,RPC,NO_SFG_plain_repack,
cfpl,CARNIVAL Mayur Ratna Big 520g,VA,NO_SFG_assembly,
cfpl,CARNIVAL Mayur Ratna Big 520gm,VA,NO_SFG_assembly,
cfpl,CARNIVAL Mayur Ratna Small 360g,VA,NO_SFG_assembly,
cfpl,CARNIVAL Mayur Ratna Small 360gm,VA,NO_SFG_assembly,
cfpl,CARNIVAL RAISIN IDNIAN GREEN/GOLDEN ROUND 1KG,RPC,NO_SFG_plain_repack,
cfpl,CARNIVAL Royal divine 550g,VA,NO_SFG_assembly,
cfpl,CARNIVAL Utsav 700g,VA,NO_SFG_assembly,
cfpl,CCD Energy Bar with Jaggery,VA,SFG_blend,CCD Energy Bar with Jaggery Bulk
cfpl,CCD Energy Bar with Jaggery Semi Finished,VA,SFG_already_bulk,CCD Energy Bar with Jaggery Semi Finished
cfpl,CELEBRATING MOMENTS 300gm,VA,NO_SFG_assembly,
cfpl,CELEBRATION SLEEK BOX 300gm,VA,NO_SFG_assembly,
cfpl,CELEBRATIONS 550gm,VA,NO_SFG_assembly,
cfpl,CHATPATA SNACK MIX,VA,SFG_blend,CHATPATA SNACK MIX Bulk
cfpl,CLASSIC WOODEN BOX 480gm,VA,NO_SFG_assembly,
cfpl,CURATE BLUEBERRIES 200G,RPC,NO_SFG_plain_repack,
cfpl,CURATE DATE BITES ASRTD RO/CA IND 420G,VA,NO_SFG_assembly,
cfpl,CURATE DATE BITES COFFEE IND 210G,VA,SFG_blend,DATE BITES COFFEE IND Bulk
cfpl,CURATE DATE BITES IND 210G,VA,SFG_reuse_intermediate,Date Bites Semi Finished
cfpl,CURATE DATE BITES ROSE IND 210G,VA,SFG_reuse_intermediate,Date Bites Rose (Semi Finished)
cfpl,CURATE DATE BITES ROSE IND 360G,VA,SFG_reuse_intermediate,Date Bites Rose (Semi Finished)
cdpl,CURATE DATES AJWA IMP SAUDI 500G,DATES RPC,NO_SFG_plain_repack,
cdpl,CURATE DATES ASSORTED IMP 500G,DATES RPC,SFG_blend,DATES ASSORTED IMP Bulk
cdpl,CURATE DATES FARD IMP OMAN 500G,DATES RPC,NO_SFG_plain_repack,
cdpl,CURATE DATES KIMIA IMP IRAN 500G,DATES RPC,NO_SFG_plain_repack,
cdpl,CURATE DATES MEDJOUL IMP ISREL 500G,DATES RPC,SFG_reuse_intermediate,WET DATES MEDJOUL BULK LARGE (5)
cdpl,CURATE DATES ORIENTAL IMP ISREL 500G,DATES RPC,NO_SFG_plain_repack,
cdpl,CURATE DATES SAFAVI IMP SAUDI 500G,DATES RPC,NO_SFG_plain_repack,
cfpl,CURATE MACADEMIA NUTS 200G,RPC,NO_SFG_plain_repack,
cfpl,CURATE MAMRA ALMOND 500G,RPC,NO_SFG_plain_repack,
cfpl,CURATE WHOLE CRANBERRIES 200G,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleria Walnut Kernel 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries  Pepper Pista Inshell 250gm,VA,SFG_reuse_intermediate,Pepper Pista Inshell
cfpl,Cafe Galleries American Almond 25-27count - 250gm,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries American Pista Inshell Regular 250gm,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries American Pista Inshell Selected 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Blueberry 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Brazil Nuts 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Cashew 180 - 250gm,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Cashew 180 - 500gm,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Cashew 210 - 250gm,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Cashew 210 - 500g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Cashew 240 - 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Cashew 240 - 500gm,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Cashew 320 - 250gm,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Cashew Black Pepper 250 Gm,VA,SFG_reuse_intermediate,Black Pepper Cashew Bulk
cfpl,Cafe Galleries Cashew Salted 180 250g,VA,SFG_blend,Cashew Salted 180 Bulk
cfpl,Cafe Galleries Chia seeds 250g,RPC,NO_SFG_plain_repack,
cfpl,"Cafe Galleries Cocktail Mix 250g(Almond,Cashew,Pista,Black Raisins)",VA,SFG_blend,"Cocktail Mix (Almond,Cashew,Pista,Black Raisins) Bulk"
cfpl,Cafe Galleries Cranberry Whole 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Flax seeds 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Hazelnuts 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Healthy Mewa Mix 250g,VA,SFG_blend,Healthy Mewa Mix Bulk
cfpl,Cafe Galleries Macadamia Nut Salted 250g,VA,SFG_mint_va,Salted Macadamia Roasted - Size 0 Bulk
cfpl,Cafe Galleries Premium Cocktail Mix 250g,VA,SFG_blend,Premium Cocktail Mix Bulk
cfpl,Cafe Galleries Pumpkin Seeds 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Salted Cashew 210- 250gm,VA,SFG_reuse_intermediate,Roasted & Salted Cashew Bulk
cfpl,Cafe Galleries Salted Pumpkin Seeds 250g,VA,SFG_mint_va,Salted Pumpkin Seed 12% Bulk
cfpl,"Cafe Galleries Seeds Mix, 250g",VA,SFG_blend,Seeds Mix Bulk
cfpl,Cafe Galleries Selected American Almond 18 count - 250gm,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Selected American Almond 20-22 count - 250gm,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Slice Cranberry 250g,RPC,NO_SFG_plain_repack,
cfpl,Cafe Galleries Sunflower Seeds - 250gm,RPC,NO_SFG_plain_repack,
cfpl,Cajun Spice Pecan Nuts Loose,VA,SFG_mint_va,Pecan Nuts Bulk (Cajun)
cfpl,California Pista Inshell Black Pepper,VA,SFG_blend,California Pista Inshell Black Pepper Bulk
cfpl,California Pista Inshell Pink Salted,VA,SFG_blend,California Pista Inshell Pink Salted Bulk
cfpl,California Pista Inshell Roasted and Salted,Bulk,SFG_mint_va,Roasted & Salted California Pista Inshell Bulk
cfpl,California Pista Inshell Roasted and Salted 75gm,VA,SFG_mint_va,Roasted & Salted California Pista Inshell Roasted and Salted Bulk
cfpl,Caramel Pecannut,VA,SFG_blend,Caramel Pecannut Bulk
cfpl,Carnial Almond Dragees 100gm,VA,SFG_blend,Almond Dragees Bulk
cfpl,Carnival Afghan Apricot 250gm,RPC,NO_SFG_plain_repack,
cfpl,Carnival Almond Choco Bite (Dark Chocolate) 100g,VA,SFG_blend,Almond Choco Bite (Dark Chocolate) Bulk
cfpl,Carnival Almond Choco Bite (Milk Chocolate) 100g,VA,SFG_blend,Almond Choco Bite (Milk Chocolate) Bulk
cfpl,Carnival Almond Choco Bite (White Chocolate) 100g,VA,SFG_blend,Almond Choco Bite (White Chocolate) Bulk
cfpl,Carnival Almond Smoked Paprika 100g,VA,SFG_mint_va,American Almonds (23-25 Count) Bulk (Smoked Paprika & Smoked & Paprika)
cfpl,Carnival Almond Smoked Paprika 200g,VA,SFG_blend,Almond Smoked Paprika Bulk
cfpl,Carnival Almonds - Indepance 200g Mono Carton,RPC,NO_SFG_plain_repack,
cfpl,Carnival Almonds - Independence 200g,RPC,NO_SFG_plain_repack,
cfpl,Carnival Almonds 250 Gm,RPC,NO_SFG_plain_repack,
cfpl,Carnival Almonds Independence 1Kg,RPC,NO_SFG_plain_repack,
cfpl,Carnival Apricot Turkey 1x2 300gm,RPC,NO_SFG_plain_repack,
cfpl,Carnival Arabian 350gm,DATES RPC,NO_SFG_plain_repack,
cdpl,Carnival Arabian Dates 350gm,DATES RPC,NO_SFG_plain_repack,
cfpl,Carnival Barbeque Cashew 100gm,VA,SFG_reuse_intermediate,Barbeque Cashew Bulk
