sfg_code,sfg_article,sfg_origin,create_wip_operation,base_recipe,in_all_sku,catalog_type,needs_cataloguing_as_sfg,item_type,uom,sale_group,batch_strategy,item_group,suggested_shelf_life_days,consumed_by_fgs_count,consumed_by_fgs_sample,possible_existing_match
SFG0027,Black Pepper Pecannut · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,black pepper pecannut,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Black Pepper Pecannut,
SFG0028,Blackcurrant Date Balls · WIP · BlendForm,DERIVED_INLINE,Blend & Form,blackcurrant date balls,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Blackcurrant Date Balls 48 gms,
SFG0029,Breakfast Mix Bulk · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,breakfast mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Breakfast Mix Bulk,Premia Breakfast Mix Bulk
SFG0030,Cafe Galleries Healthy Mewa Mix · WIP · Roast,DERIVED_INLINE,Roasting,cafe galleries healthy mewa mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Cafe Galleries Healthy Mewa Mix 250g,
SFG0031,Cafe Galleries Macadamia Nut Salted · WIP · Roast,DERIVED_INLINE,Roasting,cafe galleries macadamia nut salted,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Cafe Galleries Macadamia Nut Salted 250g,
SFG0032,Cafe Galleries Premium Cocktail Mix · WIP · Roast,DERIVED_INLINE,Roasting,cafe galleries premium cocktail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Cafe Galleries Premium Cocktail Mix 250g,
SFG0033,Cafe Galleries Pumpkin Seeds · WIP · Roast,DERIVED_INLINE,Roasting,cafe galleries pumpkin seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Cafe Galleries Pumpkin Seeds 250g,
SFG0034,Cafe Galleries Salted Pumpkin Seeds · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,cafe galleries salted pumpkin seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Cafe Galleries Salted Pumpkin Seeds 250g,
SFG0035,Cafe Galleries Seeds Mix · WIP · Roast,DERIVED_INLINE,Roasting,cafe galleries seeds mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,"Cafe Galleries Seeds Mix, 250g",
SFG0036,Cafe Galleries Sunflower Seeds -  · WIP · Roast,DERIVED_INLINE,Roasting,cafe galleries sunflower seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Cafe Galleries Sunflower Seeds - 250gm,
SFG0037,California Pista Inshell Black Pepper · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,california pista inshell black pepper,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,California Pista Inshell Black Pepper,
SFG0038,California Pista Inshell Pink Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,california pista inshell pink salted,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,California Pista Inshell Pink Salted,
SFG0039,California Pista Inshell Roasted and Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,california pista inshell roasted and salted,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,California Pista Inshell Roasted and Salted,
