fg_name,cycle_archetype,stage_seq,stage_bucket,stage_label,input_code,input_kind,output_code,output_kind,create_wip_operation
Stuffed Medjoul Large Pc,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0295,SFG,De-Seeding + Stuffing
Stuffed Medjoul Large Pc,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0295,SFG,FG,FG,
Stuffed Medjoul Large Pc with Almond,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0296,SFG,De-Seeding + Stuffing
Stuffed Medjoul Large Pc with Almond,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0296,SFG,FG,FG,
Stuffed Medjoul Large Pc with Dried Pomelo,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0297,SFG,De-Seeding + Stuffing
Stuffed Medjoul Large Pc with Dried Pomelo,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0297,SFG,FG,FG,
Stuffed Medjoul Large Pc with Hazel Nut,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0298,SFG,De-Seeding + Stuffing
Stuffed Medjoul Large Pc with Hazel Nut,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0298,SFG,FG,FG,
Stuffed Medjoul Large Pc with Macadamia,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0299,SFG,De-Seeding + Stuffing
Stuffed Medjoul Large Pc with Macadamia,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0299,SFG,FG,FG,
Stuffed Medjoul Large Pc with Orange Peel,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0300,SFG,De-Seeding + Stuffing
Stuffed Medjoul Large Pc with Orange Peel,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0300,SFG,FG,FG,
Stuffed Medjoul Large Pc with Pecan Nut,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0301,SFG,De-Seeding + Stuffing
Stuffed Medjoul Large Pc with Pecan Nut,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0301,SFG,FG,FG,
Stuffed Medjoul Large Pc with Pista,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0302,SFG,De-Seeding + Stuffing
Stuffed Medjoul Large Pc with Pista,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0302,SFG,FG,FG,
Sunflower Seed 100g (B07GR6G24J) FBA,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0303,SFG,Roasting
Sunflower Seed 100g (B07GR6G24J) FBA,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0303,SFG,FG,FG,
Sunflower Seeds 200g (B07GQNLN8S) FBA,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Sunflower Seeds Roasted,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0304,SFG,Roasting
Sunflower Seeds Roasted,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0304,SFG,FG,FG,
Sunflower Seeds Roasted and Salted,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0305,SFG,Roast & Flavour/Salt
Sunflower Seeds Roasted and Salted,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0305,SFG,FG,FG,
Tasties Brazil Nut - Gems Of South Africa 50 g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Tasties Chilli Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Final FG,Packing,SFG0341,SFG,FG,FG,
Tasties Chilli Garlic Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Final FG,Packing,SFG0342,SFG,FG,FG,
"Tasties Coated Peanuts - Pudina Patakha, Flavourful & Crispy 25 g",C: Pack of existing SFG,1,Final FG,Packing,SFG0334,SFG,FG,FG,
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0306,SFG,Roast & Flavour/Salt
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),2,Final FG,Packing,SFG0306,SFG,FG,FG,
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0307,SFG,Roast & Flavour/Salt
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),2,Final FG,Packing,SFG0307,SFG,FG,FG,
Tasties Hazelnut - A Turkish Indulgence 50 g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Tasties Lemon Pepper Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Final FG,Packing,SFG0177,SFG,FG,FG,
Tasties Macadamia Nuts - From South Africa 50 g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Tasties Pecan Nuts - Iconic American Nut 50 g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Tasties Peri Peri Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Final FG,Packing,SFG0235,SFG,FG,FG,
Tasties Pink Salted Pistachio - Flavourful & Crunchy 75 g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Tasties Roasted Almonds With Pink Salt - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Final FG,Packing,SFG0237,SFG,FG,FG,
Tasties Smoked Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,1,Final FG,Packing,SFG0284,SFG,FG,FG,
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Trail Mix,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0308,SFG,Roast & Flavour/Salt
Trail Mix,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0308,SFG,FG,FG,
Trail Mix - Every Health,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0309,SFG,Roast & Flavour/Salt
Trail Mix - Every Health,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0309,SFG,FG,FG,
Trail Mix Bulk,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0308,SFG,Roast & Flavour/Salt
Trail Mix Bulk,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0308,SFG,FG,FG,
Turkey Apricot No 1,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Urban Platter Almond Blueberry Bar 45g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,RM,RM,SFG0310,SFG,Blend & Form
Urban Platter Almond Blueberry Bar 45g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0310,SFG,FG,FG,
Urban Platter Chocolate Vanilla Bar 45g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,RM,RM,SFG0311,SFG,Blend & Form
Urban Platter Chocolate Vanilla Bar 45g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0311,SFG,FG,FG,
Urban Platter Cranberry Orange Bar 45g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,RM,RM,SFG0312,SFG,Blend & Form
Urban Platter Cranberry Orange Bar 45g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0312,SFG,FG,FG,
Urban Platter Mocha Bar 45g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,RM,RM,SFG0313,SFG,Blend & Form
Urban Platter Mocha Bar 45g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0313,SFG,FG,FG,
Urban Platter Panchmewa,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Almonds 100g (B07GQZ7ZTZ) FBA,C: Pack of existing SFG,1,Final FG,Packing,SFG0343,SFG,FG,FG,
Vedaka Almonds 1kg (B07GQNM6N2),C: Pack of existing SFG,1,Final FG,Packing,SFG0343,SFG,FG,FG,
Vedaka Almonds 500g (B07GQNQNJG),C: Pack of existing SFG,1,Final FG,Packing,SFG0343,SFG,FG,FG,
"Vedaka Almonds, Raisins, Cashews, and Pista (4 X 200 gm)B0BVVV1SMF",D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Black Raisins - 500g (B0D9P37XTT),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Black pepper Cashew 200g (B0BTHWW69R),C: Pack of existing SFG,1,Final FG,Packing,SFG0024,SFG,FG,FG,
Vedaka Broken Cashew 1kg (B0D9NZYHDC),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blanch & Slice,RM,RM,SFG0314,SFG,Blanch & Slice
Vedaka Broken Cashew 1kg (B0D9NZYHDC),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0314,SFG,FG,FG,
Vedaka Cashew 200g (B07GQZSS48),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Cashews - Broken 500g (B0D9NYHTG1),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blanch & Slice,RM,RM,SFG0315,SFG,Blanch & Slice
Vedaka Cashews - Broken 500g (B0D9NYHTG1),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0315,SFG,FG,FG,
Vedaka Dried Figs - 250g (B0D9NZ5GFV),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Dry Dates powder 250gm (B0DRDCLY1Q),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Dry Dates powder 500g (B0DRD9F8G2),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Dry Fruit Combo - Almonds and Cashews (2 X 200 gm) (B0BVVRS2N7),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Dry Fruit Combo - Almonds and Raisins (2 X 200 gm) (B0BTHYWT53),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Dry Fruit Combo - Raisins and Cashews (2 X 200 gm) (B0BVVVGN99),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Fard Dates (Omani) - (500gm x 2) (B0D9NZY7RK),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Fresh Dates 500g (102219254),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Fresh Dates 500gm (Pack of 2) [B0D9P11T76],D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Healthy Seed Mix 200gm(B0B69L57PV),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0316,SFG,Roast & Flavour/Salt
Vedaka Healthy Seed Mix 200gm(B0B69L57PV),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0316,SFG,FG,FG,
Vedaka Peri Peri Cashew 200g (B0BVVRRYVC),C: Pack of existing SFG,1,Final FG,Packing,SFG0235,SFG,FG,FG,
Vedaka Popular Cashew Broken 100g FBA(B07GR3S1RL),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blanch & Slice,RM,RM,SFG0317,SFG,Blanch & Slice
Vedaka Popular Cashew Broken 100g FBA(B07GR3S1RL),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0317,SFG,FG,FG,
Vedaka Popular Cashew Broken 200g FBA(B07GQWS1BS),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blanch & Slice,RM,RM,SFG0317,SFG,Blanch & Slice
Vedaka Popular Cashew Broken 200g FBA(B07GQWS1BS),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0317,SFG,FG,FG,
"Vedaka Popular Raisins, 1 kg (B07GR82XJR)",D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
"Vedaka Popular Raisins, 100 g (B07GRBFFMS)",D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Black Raisins 100g B07GQVNVV8,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Black Raisins 200g (B07GR346FX),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Blueberries 1kg (B07GR82XK8),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Blueberries 200g (B07GQWST7K),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Dry Fruits Combo 1000 gm Gift Box ( B0BBDP8GR2 ),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Flavored Dry Fruits 500 gm Gift Box (B0CGVC7DF2),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0318,SFG,Roast & Flavour/Salt
Vedaka Premium Flavored Dry Fruits 500 gm Gift Box (B0CGVC7DF2),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0318,SFG,FG,FG,
Vedaka Premium Inshell Walnuts 500g (Pack of 2)B07MSXKDNQ,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Inshell Walnuts 500g(B07LFJZR46),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Roasted and Salted Almonds 200g B07GR346FM,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Roasted and Salted Almonds100g B07GQQJP1N,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Sunflower Seeds 500g (B07GR2G67L),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0319,SFG,Roasting
Vedaka Premium Sunflower Seeds 500g (B07GR2G67L),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0319,SFG,FG,FG,
Vedaka Premium Whole Cranberries 100g B07GR24VMV,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Whole Cranberries 1kg (B07GR8351K),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Whole Cranberries 200g (B07GR2G678),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Premium Whole Cranberries 500g (B07GQS1669),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Raw Flaxseed 1kg (B0D9NZS3JT),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Roasted and Salted California Pistachios 500g (B0D9NY8F36),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Salted Peanuts - 200g (B0CZ9GZ9F2),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0320,SFG,Roast & Flavour/Salt
Vedaka Salted Peanuts - 200g (B0CZ9GZ9F2),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0320,SFG,FG,FG,
Vedaka Salted Peanuts 200 gm (102219262),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0320,SFG,Roast & Flavour/Salt
Vedaka Salted Peanuts 200 gm (102219262),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0320,SFG,FG,FG,
Vedaka Turkish Dried Apricots (500gm x 2) (B0D9P1DS9Q),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Whole California Pista Kernels 500gm [B0D9NY1V9X],D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Vedaka Whole Cashews (Grade W320) 1kg (B0D9NY9M32),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Walnut Flavoured Salt & Pepper (Quarters) Loose,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0321,SFG,Roast & Flavour/Salt
Walnut Flavoured Salt & Pepper (Quarters) Loose,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0321,SFG,FG,FG,
Walnut Tukda,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Wasabi Makhana,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Watermelon Seeds Roasted,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0322,SFG,Roasting
Watermelon Seeds Roasted,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0322,SFG,FG,FG,
Wheat Starch - TPL,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
White Almond Draggies,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting + Enrobe / Choco-Coat,RM,RM,SFG0323,SFG,Roasting + Enrobe / Choco-Coat
White Almond Draggies,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0323,SFG,FG,FG,
Wholesome Millet LadduBar Pack of 6,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Wholesome millet laddu bar 35gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,RM,RM,SFG0324,SFG,Blend & Form
Wholesome millet laddu bar 35gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0324,SFG,FG,FG,
YUMASANA CASHEWS- BARBEQUE 150g,C: Pack of existing SFG,1,Final FG,Packing,SFG0019,SFG,FG,FG,
YUMASANA CASHEWS- PEPPER 150g,C: Pack of existing SFG,1,Final FG,Packing,SFG0024,SFG,FG,FG,
YUMASANA CASHEWS- SALTED 150g,C: Pack of existing SFG,1,Final FG,Packing,SFG0262,SFG,FG,FG,
YUMASANA CASHEWS- SOUR CREAM 150g,C: Pack of existing SFG,1,Final FG,Packing,SFG0293,SFG,FG,FG,
YUMASANA COATED PEANUTS - BARB EQUE 150g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0325,SFG,Roast & Flavour/Salt
YUMASANA COATED PEANUTS - BARB EQUE 150g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0325,SFG,FG,FG,
YUMASANA COATED PEANUTS - CHILLI GARLIC 150g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0326,SFG,Roast & Flavour/Salt
YUMASANA COATED PEANUTS - CHILLI GARLIC 150g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0326,SFG,FG,FG,
YUMASANA COATED PEANUTS - PERI PERI 150g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0327,SFG,Roast & Flavour/Salt
YUMASANA COATED PEANUTS - PERI PERI 150g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0327,SFG,FG,FG,
YUMASANA COATED PEANUTS - THAI CHILLI 150g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0328,SFG,Roast & Flavour/Salt
YUMASANA COATED PEANUTS - THAI CHILLI 150g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0328,SFG,FG,FG,
YUMSANA CHOCO HAZELNUT SPREAD 340GM,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Zorro Maple Glazed Pecans 100g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0329,SFG,Roast & Flavour/Salt
Zorro Maple Glazed Pecans 100g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0329,SFG,FG,FG,
Zorro Pecan 100g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Zorro Pecan Grain Free Granola 100g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0330,SFG,Roast & Flavour/Salt
Zorro Pecan Grain Free Granola 100g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0330,SFG,FG,FG,
Zorro Roasted & Lightly Salted Pecans 100g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0331,SFG,Roast & Flavour/Salt
Zorro Roasted & Lightly Salted Pecans 100g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0331,SFG,FG,FG,
Zorro Sweet & Spicy Pecan 100g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0332,SFG,Roast & Flavour/Salt
Zorro Sweet & Spicy Pecan 100g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0332,SFG,FG,FG,
snack amor Coated Peanuts Pudina Patakha 100g,C: Pack of existing SFG,1,Final FG,Packing,SFG0334,SFG,FG,FG,
