fg_name,cycle_archetype,stage_seq,stage_bucket,stage_label,input_code,input_kind,output_code,output_kind,create_wip_operation
Rhine Valley Almond & Orange Dark Chocolate Date Bar 50gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0252,SFG,FG,FG,
Rhine Valley Barbeque Trail Mix 100gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0253,SFG,Roast & Flavour/Salt
Rhine Valley Barbeque Trail Mix 100gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0253,SFG,FG,FG,
Rhine Valley Black Pepper Trail Mix 100gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0254,SFG,Roast & Flavour/Salt
Rhine Valley Black Pepper Trail Mix 100gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0254,SFG,FG,FG,
Rhine Valley Fruit & Nut Date Bar 50gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,RM,RM,SFG0255,SFG,Blend & Form
Rhine Valley Fruit & Nut Date Bar 50gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0255,SFG,FG,FG,
Rhine Valley Himalayan Pink Salt Trail Mix 100gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0256,SFG,Roast & Flavour/Salt
Rhine Valley Himalayan Pink Salt Trail Mix 100gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0256,SFG,FG,FG,
Rhine Valley Masala Trail mix 100g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0257,SFG,Roast & Flavour/Salt
Rhine Valley Masala Trail mix 100g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0257,SFG,FG,FG,
Rhine Valley Peri Peri Trail Mix 100gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0258,SFG,Roast & Flavour/Salt
Rhine Valley Peri Peri Trail Mix 100gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0258,SFG,FG,FG,
"Rhine Valley Raspberry, Almond & Dark Chocolate Date Bar 50gm",B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,RM,RM,SFG0259,SFG,Blend & Form
"Rhine Valley Raspberry, Almond & Dark Chocolate Date Bar 50gm",B: Transform->Pack (in-line),2,Final FG,Packing,SFG0259,SFG,FG,FG,
Rhine Valley Rose & Pistachio Date Bar 50gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,RM,RM,SFG0260,SFG,Blend & Form
Rhine Valley Rose & Pistachio Date Bar 50gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0260,SFG,FG,FG,
Roasted & Salted Almonds,C: Pack of existing SFG,1,Final FG,Packing,SFG0261,SFG,FG,FG,
