fg_sample,base_recipe,create_wip_operation,sfg_origin,sfg_code,sfg_article,num_fgs
Drangees Dark Almond,Drangees Dark Almond,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0147,Drangees Dark Almond · WIP · Roast+Enrobe,1
Dried Masala Mango,Dried Masala Mango,Roast & Flavour/Salt,DERIVED_INLINE,SFG0148,Dried Masala Mango · WIP · RoastFlav,1
Dried Masala Pineapple,Dried Masala Pineapple,Roast & Flavour/Salt,DERIVED_INLINE,SFG0149,Dried Masala Pineapple · WIP · RoastFlav,1
Dry Fruit Hamper,Dry Fruit,Roast & Flavour/Salt,DERIVED_INLINE,SFG0150,Dry Fruit · WIP · RoastFlav,1
Dryfruit instant Energy laddu Bar 35gm,Dryfruit instant Energy laddu Bar,Blend & Form,DERIVED_INLINE,SFG0151,Dryfruit instant Energy laddu Bar · WIP · BlendForm,1
Dryfruit Instant Energy Laddubar Bites 9gm,Dryfruit Instant Energy Laddubar Bites,Blend & Form,DERIVED_INLINE,SFG0152,Dryfruit Instant Energy Laddubar Bites · WIP · BlendForm,1
Dryfruit Instant Energy LadduBar Pack of 5,Dryfruit Instant Energy LadduBar Pack of,Blend & Form,DERIVED_INLINE,SFG0153,Dryfruit Instant Energy LadduBar Pack of · WIP · BlendForm,1
Energy Bar - Choco Crunch 30gm,Energy Bar - Choco Crunch,Blend & Form,DERIVED_INLINE,SFG0154,Energy Bar - Choco Crunch · WIP · BlendForm,1
Energy Bar - Fig & Dates 30gm,Energy Bar - Fig & Dates,Blend & Form,DERIVED_INLINE,SFG0155,Energy Bar - Fig & Dates · WIP · BlendForm,1
Energy Bar - Hazelnut Magic 30gm,Energy Bar - Hazelnut Magic,Blend & Form,DERIVED_INLINE,SFG0156,Energy Bar - Hazelnut Magic · WIP · BlendForm,1
Energy Bar - Oats & Apricot 30gm,Energy Bar - Oats & Apricot,Blend & Form,DERIVED_INLINE,SFG0157,Energy Bar - Oats & Apricot · WIP · BlendForm,1
Energy Bars Oats and Dates (Pack of 6) 210gm,Energy Bars Oats and Dates,Blend & Form,DERIVED_INLINE,SFG0158,Energy Bars Oats and Dates · WIP · BlendForm,1
Extra Cheese Seasoning (UNC) 1Kg,Extra Cheese Seasoning,Roast & Flavour/Salt,DERIVED_INLINE,SFG0159,Extra Cheese Seasoning · WIP · RoastFlav,1
Extra Cheese Seasoning Extreme,Extra Cheese Seasoning Extreme,Roast & Flavour/Salt,DERIVED_INLINE,SFG0160,Extra Cheese Seasoning Extreme · WIP · RoastFlav,1
Extra Cheese Seasoning-UNC( Malaysian) 15kg / Extra Cheese Seasoning-UNC( Malaysian) 1kg,Extra Cheese Seasoning-UNC,Roast & Flavour/Salt,DERIVED_INLINE,SFG0161,Extra Cheese Seasoning-UNC · WIP · RoastFlav,2
Extreme Cheese Seasoning( Malaysian) 1kg,Extreme Cheese Seasoning,Roast & Flavour/Salt,DERIVED_INLINE,SFG0162,Extreme Cheese Seasoning · WIP · RoastFlav,1
FABSTA CASHEWNUT BROKEN 200G,FABSTA CASHEWNUT BROKEN,Blanch & Slice,DERIVED_INLINE,SFG0163,FABSTA CASHEWNUT BROKEN · WIP · BlanchSlice,1
FNP Choco Almonds 50gm,FNP Choco Almonds,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0164,FNP Choco Almonds · WIP · Roast+Enrobe,1
FNP Choco Berry Bites 50gm,FNP Choco Berry Bites,Blend & Form,DERIVED_INLINE,SFG0165,FNP Choco Berry Bites · WIP · BlendForm,1
FNP Pistachios Salted & Roasted 50 gm,FNP Pistachios Salted & Roasted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0166,FNP Pistachios Salted & Roasted · WIP · RoastFlav,1
Gondh Dryfruit Laddu Bar 35gm,Gondh Dryfruit Laddu Bar,Blend & Form,DERIVED_INLINE,SFG0167,Gondh Dryfruit Laddu Bar · WIP · BlendForm,1
Gondh Dryfruit LadduBar Pack of 6,Gondh Dryfruit LadduBar Pack of,Blend & Form,DERIVED_INLINE,SFG0168,Gondh Dryfruit LadduBar Pack of · WIP · BlendForm,1
Green Chilli Cashew Bulk,Green Chilli Cashew Bulk,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0169,Green Chilli Cashew Bulk,1
Greendot Coated Peanuts,Greendot Coated Peanuts,Roast & Flavour/Salt,DERIVED_INLINE,SFG0170,Greendot Coated Peanuts · WIP · RoastFlav,1
Habit Coconut Cream Powder 1 Kg (Instant),Habit Coconut Cream Powder,Roast & Flavour/Salt,DERIVED_INLINE,SFG0171,Habit Coconut Cream Powder · WIP · RoastFlav,1
Habit Extra Cheese Seasoning (15kg),Habit Extra Cheese Seasoning,Roast & Flavour/Salt,DERIVED_INLINE,SFG0172,Habit Extra Cheese Seasoning · WIP · RoastFlav,1
Healing Hand Oats and Dates Bar,Healing Hand Oats and Dates Bar,Blend & Form,DERIVED_INLINE,SFG0173,Healing Hand Oats and Dates Bar · WIP · BlendForm,1
HOH Panch Mewa Mix Loose,HOH Panch Mewa Mix,Roasting,DERIVED_INLINE,SFG0174,HOH Panch Mewa Mix · WIP · Roast,1
Krack Nut Coated Peanuts Magic Masala 110g,Krack Nut Coated Peanuts Magic Masala,Roast & Flavour/Salt,DERIVED_INLINE,SFG0175,Krack Nut Coated Peanuts Magic Masala · WIP · RoastFlav,1
Krack Nut Coated Peanuts Pudina Patakha 25g Not Use,Krack Nut Coated Peanuts Pudina Patakha,Roast & Flavour/Salt,DERIVED_INLINE,SFG0176,Krack Nut Coated Peanuts Pudina Patakha · WIP · RoastFlav,1
Lemon Pepper Cashew Bulk,Lemon Pepper Cashew Bulk,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0177,Lemon Pepper Cashew Bulk,1
Mac Snack Dry Roasted Macadamias Munchies 200gm,Mac Snack Dry Roasted Macadamias Munchies,Roasting,DERIVED_INLINE,SFG0178,Mac Snack Dry Roasted Macadamias Munchies · WIP · Roast,1
Mac Snack Dry Roasted Macadamias Munchies 100gm-style 4,Mac Snack Dry Roasted Macadamias Munchies 100gm-style,Roasting,DERIVED_INLINE,SFG0179,Mac Snack Dry Roasted Macadamias Munchies 100gm-style · WIP · Roast,1
Mac Snack Roasted & Salted Macadamias Munchies 200gm-style 4,Mac Snack Roasted & Salted Macadamias Munchies 200gm-style,Roast & Flavour/Salt,DERIVED_INLINE,SFG0180,Mac Snack Roasted & Salted Macadamias Munchies 200gm-style · WIP · RoastFlav,1
Mac Snack Roasted Macadamias Munchies 100gm-style 4,Mac Snack Roasted Macadamias Munchies 100gm-style,Roast & Flavour/Salt,DERIVED_INLINE,SFG0181,Mac Snack Roasted Macadamias Munchies 100gm-style · WIP · RoastFlav,1
Macadamia Roasted & Salted style 4,Macadamia Roasted & Salted style,Roast & Flavour/Salt,DERIVED_INLINE,SFG0182,Macadamia Roasted & Salted style · WIP · RoastFlav,1
Makhana Black Pepper,Makhana Black Pepper,Roast & Flavour/Salt,DERIVED_INLINE,SFG0183,Makhana Black Pepper · WIP · RoastFlav,1
Makhana Black Salt 75gm,Makhana Black Salt,Roast & Flavour/Salt,DERIVED_INLINE,SFG0184,Makhana Black Salt · WIP · RoastFlav,1
Makhana Chilli Lime 75gm,Makhana Chilli Lime,Roast & Flavour/Salt,DERIVED_INLINE,SFG0185,Makhana Chilli Lime · WIP · RoastFlav,1
Makhana Himalayan Pink Salt,Makhana Himalayan Pink Salt,Roast & Flavour/Salt,DERIVED_INLINE,SFG0186,Makhana Himalayan Pink Salt · WIP · RoastFlav,1
Makhana Masala,Makhana Masala,Roast & Flavour/Salt,DERIVED_INLINE,SFG0187,Makhana Masala · WIP · RoastFlav,1
Makhana Peri Peri,Makhana Peri Peri,Roast & Flavour/Salt,DERIVED_INLINE,SFG0188,Makhana Peri Peri · WIP · RoastFlav,1
Masala Cashew,Masala Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0189,Masala Cashew · WIP · RoastFlav,1
Methi Dryfruit Laddu bar 35gm,Methi Dryfruit Laddu bar,Blend & Form,DERIVED_INLINE,SFG0190,Methi Dryfruit Laddu bar · WIP · BlendForm,1
Milk Almond Draggies,Milk Almond Draggies,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0191,Milk Almond Draggies · WIP · Roast+Enrobe,1
Milk Chocolate Coated Date Bites,Milk Chocolate Coated Date Bites,Blend & Form,DERIVED_INLINE,SFG0192,Milk Chocolate Coated Date Bites · WIP · BlendForm,1
Mocha Mojo Trail Mix,Mocha Mojo Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0193,Mocha Mojo Trail Mix · WIP · RoastFlav,1
Moon Freeze Banana Date Fruit Bar - 10 GM / Moon Freeze Banana Date Fruit Bar - 45 Gm,Moon Freeze Banana Date Fruit Bar,Blend & Form,DERIVED_INLINE,SFG0194,Moon Freeze Banana Date Fruit Bar · WIP · BlendForm,2
Moon Freeze Mango Date Fruit Bar - 10 GM / Moon Freeze Mango Date Fruit Bar - 45 Gm,Moon Freeze Mango Date Fruit Bar,Blend & Form,DERIVED_INLINE,SFG0195,Moon Freeze Mango Date Fruit Bar · WIP · BlendForm,2
Moon Freeze Pineapple Date Fruit Bar - 45 Gm / Moon Freeze Pineapple Date Fruit Bar -10 GM,Moon Freeze Pineapple Date Fruit Bar,Blend & Form,DERIVED_INLINE,SFG0196,Moon Freeze Pineapple Date Fruit Bar · WIP · BlendForm,2
Moon Freeze Strawberry Date Fruit Bar - 45 Gm / Moon Freeze Strawberry Date Fruit Bar -10 GM,Moon Freeze Strawberry Date Fruit Bar,Blend & Form,DERIVED_INLINE,SFG0197,Moon Freeze Strawberry Date Fruit Bar · WIP · BlendForm,2
Natures Cashew Split 200g (1356008),Natures Cashew Split,Blanch & Slice,DERIVED_INLINE,SFG0198,Natures Cashew Split · WIP · BlanchSlice,1
NATURES MACADAMIA ROASTED&SALTED 100g (1443558),NATURES MACADAMIA ROASTED&SALTED,Roast & Flavour/Salt,DERIVED_INLINE,SFG0199,NATURES MACADAMIA ROASTED&SALTED · WIP · RoastFlav,1
NB BARBEQUE ALMOND LOOSE,NB BARBEQUE ALMOND,Roast & Flavour/Salt,DERIVED_INLINE,SFG0200,NB BARBEQUE ALMOND · WIP · RoastFlav,1
NB BARBEQUE CASHEW LOOSE,NB BARBEQUE CASHEW,Roast & Flavour/Salt,DERIVED_INLINE,SFG0201,NB BARBEQUE CASHEW · WIP · RoastFlav,1
NB BLACK PEPPER CASHEW LOOSE,NB BLACK PEPPER CASHEW,Roast & Flavour/Salt,DERIVED_INLINE,SFG0202,NB BLACK PEPPER CASHEW · WIP · RoastFlav,1
NB CHARCOAL CASHEW LOOSE,NB CHARCOAL CASHEW,Roast & Flavour/Salt,DERIVED_INLINE,SFG0203,NB CHARCOAL CASHEW · WIP · RoastFlav,1
NB CHEESE CASHEW LOOSE,NB CHEESE CASHEW,Roast & Flavour/Salt,DERIVED_INLINE,SFG0204,NB CHEESE CASHEW · WIP · RoastFlav,1
NB GREEN CHILLY CASHEW LOOSE,NB GREEN CHILLY CASHEW,Roast & Flavour/Salt,DERIVED_INLINE,SFG0205,NB GREEN CHILLY CASHEW · WIP · RoastFlav,1
NB MASALA CASHEW LOOSE,NB MASALA CASHEW,Roast & Flavour/Salt,DERIVED_INLINE,SFG0206,NB MASALA CASHEW · WIP · RoastFlav,1
NB MASALA RAISIN LOOSE,NB MASALA RAISIN,Roast & Flavour/Salt,DERIVED_INLINE,SFG0207,NB MASALA RAISIN · WIP · RoastFlav,1
NB PAAN RAISIN LOOSE,NB PAAN RAISIN,Roast & Flavour/Salt,DERIVED_INLINE,SFG0208,NB PAAN RAISIN · WIP · RoastFlav,1
NB PERI-PERI CASHEW LOOSE,NB PERI-PERI CASHEW,Roast & Flavour/Salt,DERIVED_INLINE,SFG0209,NB PERI-PERI CASHEW · WIP · RoastFlav,1
NB ROASTED & SALTED ALMOND LOOSE,NB ROASTED & SALTED ALMOND,Roast & Flavour/Salt,DERIVED_INLINE,SFG0210,NB ROASTED & SALTED ALMOND · WIP · RoastFlav,1
NB ROASTED & SALTED CASHEW LOOSE,NB ROASTED & SALTED CASHEW,Roast & Flavour/Salt,DERIVED_INLINE,SFG0211,NB ROASTED & SALTED CASHEW · WIP · RoastFlav,1
NB ROASTED MACADAMIA INSHELL LOOSE,NB ROASTED MACADAMIA INSHELL,Roasting,DERIVED_INLINE,SFG0212,NB ROASTED MACADAMIA INSHELL · WIP · Roast,1
NB SMOKED ALMOND LOOSE,NB SMOKED ALMOND,Roast & Flavour/Salt,DERIVED_INLINE,SFG0213,NB SMOKED ALMOND · WIP · RoastFlav,1
NOICE Date Bites (18g*5),NOICE Date Bites,Blend & Form,DERIVED_INLINE,SFG0214,NOICE Date Bites · WIP · BlendForm,1
Nut Flex - Italian Herbs 33gm / Nut Flex - Italian Herbs 35gm,Nut Flex - Italian Herbs,Roast & Flavour/Salt,DERIVED_INLINE,SFG0215,Nut Flex - Italian Herbs · WIP · RoastFlav,2
Nuts and Cardamom Date Balls 48 gms,Nuts and Cardamom Date Balls,Blend & Form,DERIVED_INLINE,SFG0216,Nuts and Cardamom Date Balls · WIP · BlendForm,1
Omega Mix- Lemon Pepper 35gm,Omega Mix- Lemon Pepper,Roast & Flavour/Salt,DERIVED_INLINE,SFG0217,Omega Mix- Lemon Pepper · WIP · RoastFlav,1
ON THE RUN Assorted Energy Bars (Pack of 6x30g),ON THE RUN Assorted Energy Bars,Blend & Form,DERIVED_INLINE,SFG0218,ON THE RUN Assorted Energy Bars · WIP · BlendForm,1
ON THE RUN Choco Crunch Energy Bars 30g,ON THE RUN Choco Crunch Energy Bars,Blend & Form,DERIVED_INLINE,SFG0219,ON THE RUN Choco Crunch Energy Bars · WIP · BlendForm,1
On the Run Coffee Bite 10g,On the Run Coffee Bite,Blend & Form,DERIVED_INLINE,SFG0220,On the Run Coffee Bite · WIP · BlendForm,1
ON THE RUN Fig and Date Energy Bar (Pack of 6x30 g) / ON THE RUN Fig and Date Energy Bar 30g,ON THE RUN Fig and Date Energy Bar,Blend & Form,DERIVED_INLINE,SFG0221,ON THE RUN Fig and Date Energy Bar · WIP · BlendForm,2
ON THE RUN Hazelnut Magic Energy Bar 30g,ON THE RUN Hazelnut Magic Energy Bar,Blend & Form,DERIVED_INLINE,SFG0222,ON THE RUN Hazelnut Magic Energy Bar · WIP · BlendForm,1
"ON THE RUN Oats, Apricot & Cranberry Energy Bar 30g","ON THE RUN Oats, Apricot & Cranberry Energy Bar",Blend & Form,DERIVED_INLINE,SFG0223,"ON THE RUN Oats, Apricot & Cranberry Energy Bar · WIP · BlendForm",1
Ontherun Coffee Bite (Pack of 15x10g) / Ontherun Coffee Bite (Pack of 6*10g),Ontherun Coffee Bite,Blend & Form,DERIVED_INLINE,SFG0224,Ontherun Coffee Bite · WIP · BlendForm,2
Pan Cranberry,Pan Cranberry,Roast & Flavour/Salt,DERIVED_INLINE,SFG0225,Pan Cranberry · WIP · RoastFlav,1
Pan Raisin,Pan Raisin,Roast & Flavour/Salt,DERIVED_INLINE,SFG0226,Pan Raisin · WIP · RoastFlav,1
PEANUT BUTTER,PEANUT BUTTER,Roast & Flavour/Salt,DERIVED_INLINE,SFG0227,PEANUT BUTTER · WIP · RoastFlav,1
Peanut Coated Spanish Tomato,Peanut Coated Spanish Tomato,Roast & Flavour/Salt,DERIVED_INLINE,SFG0228,Peanut Coated Spanish Tomato · WIP · RoastFlav,1
Pecans Roasted and Salted,Pecans Roasted and Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0229,Pecans Roasted and Salted · WIP · RoastFlav,1
Peper Garlic Cashew,Peper Garlic Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0230,Peper Garlic Cashew · WIP · RoastFlav,1
Pepper Cashew,Pepper Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0231,Pepper Cashew · WIP · RoastFlav,1
Pepper Pista 100g Pet,Pepper Pista,Roast & Flavour/Salt,DERIVED_INLINE,SFG0232,Pepper Pista · WIP · RoastFlav,1
Pepper Pista Inshell,Pepper Pista Inshell,Roast & Flavour/Salt,DERIVED_INLINE,SFG0233,Pepper Pista Inshell · WIP · RoastFlav,1
PEPPER SNACK MIX,PEPPER SNACK MIX,Roast & Flavour/Salt,DERIVED_INLINE,SFG0234,PEPPER SNACK MIX · WIP · RoastFlav,1
Peri Peri Cashew / Peri Peri Cashew Bulk,Peri Peri Cashew,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0235,Peri Peri Cashew Bulk,2
Peri Peri Pecannut,Peri Peri Pecannut,Roast & Flavour/Salt,DERIVED_INLINE,SFG0236,Peri Peri Pecannut · WIP · RoastFlav,1
Pink Salt Almonds Bulk,Pink Salt Almonds Bulk,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0237,Pink Salt Almonds Bulk,1
Pista Akbari Roasted and Salted,Pista Akbari Roasted and Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0238,Pista Akbari Roasted and Salted · WIP · RoastFlav,1
Pista Irani 101 Inshell Roasted and salted,Pista Irani 101 Inshell Roasted and salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0239,Pista Irani 101 Inshell Roasted and salted · WIP · RoastFlav,1
Pista Irani Inshell Roasted and Salted,Pista Irani Inshell Roasted and Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0240,Pista Irani Inshell Roasted and Salted · WIP · RoastFlav,1
PISTA PERI PERI,PISTA PERI PERI,Roast & Flavour/Salt,DERIVED_INLINE,SFG0241,PISTA PERI PERI · WIP · RoastFlav,1
Plain Coated Peanuts,Plain Coated Peanuts,Roast & Flavour/Salt,DERIVED_INLINE,SFG0242,Plain Coated Peanuts · WIP · RoastFlav,1
Planck Foods Multi Millet 5 GC puffs 210g,Planck Foods Multi Millet 5 GC puffs,Roasting,DERIVED_INLINE,SFG0243,Planck Foods Multi Millet 5 GC puffs · WIP · Roast,1
Premium Trail Mix 100gm,Premium Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0244,Premium Trail Mix · WIP · RoastFlav,1
Pudina Cashew,Pudina Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0245,Pudina Cashew · WIP · RoastFlav,1
Pudina Makhana,Pudina Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0246,Pudina Makhana · WIP · RoastFlav,1
Pumpkin Seeds Roasted,Pumpkin Seeds Roasted,Roasting,DERIVED_INLINE,SFG0247,Pumpkin Seeds Roasted · WIP · Roast,1
Pumpkin Seeds Roasted and Salted,Pumpkin Seeds Roasted and Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0248,Pumpkin Seeds Roasted and Salted · WIP · RoastFlav,1
Red Dates Seedless 500 Gm,Red Dates Seedless,De-Seeding,DERIVED_INLINE,SFG0249,Red Dates Seedless · WIP · DeSeed,1
Rhine Valley Almond & Coffee Date Bar 50gm,Rhine Valley Almond & Coffee Date Bar,Blend & Form,DERIVED_INLINE,SFG0250,Rhine Valley Almond & Coffee Date Bar · WIP · BlendForm,1
Rhine Valley Almond & Cranberry Date Bar 50gm,Rhine Valley Almond & Cranberry Date Bar,Blend & Form,DERIVED_INLINE,SFG0251,Rhine Valley Almond & Cranberry Date Bar · WIP · BlendForm,1
Rhine Valley Almond & Orange Dark Chocolate Date Bar 50gm,Rhine Valley Almond & Orange Dark Chocolate Date Bar,Blend & Form,DERIVED_INLINE,SFG0252,Rhine Valley Almond & Orange Dark Chocolate Date Bar · WIP · BlendForm,1
Rhine Valley Barbeque Trail Mix 100gm,Rhine Valley Barbeque Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0253,Rhine Valley Barbeque Trail Mix · WIP · RoastFlav,1
Rhine Valley Black Pepper Trail Mix 100gm,Rhine Valley Black Pepper Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0254,Rhine Valley Black Pepper Trail Mix · WIP · RoastFlav,1
Rhine Valley Fruit & Nut Date Bar 50gm,Rhine Valley Fruit & Nut Date Bar,Blend & Form,DERIVED_INLINE,SFG0255,Rhine Valley Fruit & Nut Date Bar · WIP · BlendForm,1
Rhine Valley Himalayan Pink Salt Trail Mix 100gm,Rhine Valley Himalayan Pink Salt Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0256,Rhine Valley Himalayan Pink Salt Trail Mix · WIP · RoastFlav,1
Rhine Valley Masala Trail mix 100g,Rhine Valley Masala Trail mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0257,Rhine Valley Masala Trail mix · WIP · RoastFlav,1
Rhine Valley Peri Peri Trail Mix 100gm,Rhine Valley Peri Peri Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0258,Rhine Valley Peri Peri Trail Mix · WIP · RoastFlav,1
"Rhine Valley Raspberry, Almond & Dark Chocolate Date Bar 50gm","Rhine Valley Raspberry, Almond & Dark Chocolate Date Bar",Blend & Form,DERIVED_INLINE,SFG0259,"Rhine Valley Raspberry, Almond & Dark Chocolate Date Bar · WIP · BlendForm",1
Rhine Valley Rose & Pistachio Date Bar 50gm,Rhine Valley Rose & Pistachio Date Bar,Blend & Form,DERIVED_INLINE,SFG0260,Rhine Valley Rose & Pistachio Date Bar · WIP · BlendForm,1
Roasted & Salted Almonds,Roasted & Salted Almonds,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0261,Roasted & Salted Almonds Bulk,1
Roasted & Salted Cashew / Roasted & Salted Cashew Bulk,Roasted & Salted Cashew,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0262,Roasted & Salted Cashew Bulk,2
Roasted & Salted Pecan Nuts 75gm,Roasted & Salted Pecan Nuts,Roast & Flavour/Salt,DERIVED_INLINE,SFG0263,Roasted & Salted Pecan Nuts · WIP · RoastFlav,1
Roasted & Salted Pista 230g,Roasted & Salted Pista,Roast & Flavour/Salt,DERIVED_INLINE,SFG0264,Roasted & Salted Pista · WIP · RoastFlav,1
Roasted Black Sesame (Kale Til) Seeds,Roasted Black Sesame (Kale Til) Seeds,Roasting,DERIVED_INLINE,SFG0265,Roasted Black Sesame (Kale Til) Seeds · WIP · Roast,1
Roasted Flax Seeds,Roasted Flax Seeds,Roasting,DERIVED_INLINE,SFG0266,Roasted Flax Seeds · WIP · Roast,1
Roasted Makhana,Roasted Makhana,Roasting,DERIVED_INLINE,SFG0267,Roasted Makhana · WIP · Roast,1
Roasted Peanuts,Roasted Peanuts,Roasting,DERIVED_INLINE,SFG0268,Roasted Peanuts · WIP · Roast,1
Roasted Peanuts Split,Roasted Peanuts Split,Roasting,DERIVED_INLINE,SFG0269,Roasted Peanuts Split · WIP · Roast,1
Roasted Poppy Seed,Roasted Poppy Seed,Roasting,DERIVED_INLINE,SFG0270,Roasted Poppy Seed · WIP · Roast,1
Roasted Salted Flax Seeds,Roasted Salted Flax Seeds,Roasting,DERIVED_INLINE,SFG0271,Roasted Salted Flax Seeds · WIP · Roast,1
Roasted White Sesame (Safed Til) Seeds,Roasted White Sesame (Safed Til) Seeds,Roasting,DERIVED_INLINE,SFG0272,Roasted White Sesame (Safed Til) Seeds · WIP · Roast,1
Royal Delight Stuff Medjoul Dates 21 Pcs,Royal Delight Stuff Medjoul Dates,De-Seeding + Stuffing,DERIVED_INLINE,SFG0273,Royal Delight Stuff Medjoul Dates · WIP · DeSeed+Stuff,1
Royal Delight Stuffed Medjoul Dates 12 Pcs,Royal Delight Stuffed Medjoul Dates,De-Seeding + Stuffing,DERIVED_INLINE,SFG0274,Royal Delight Stuffed Medjoul Dates · WIP · DeSeed+Stuff,1
Royal Delight Stuffed Medjul Large Dates 12 Pieces,Royal Delight Stuffed Medjul Large Dates,De-Seeding + Stuffing,DERIVED_INLINE,SFG0275,Royal Delight Stuffed Medjul Large Dates · WIP · DeSeed+Stuff,1
ROYAL TRADITON SNACK MASALA MIX 100G,ROYAL TRADITON SNACK MASALA MIX,Roast & Flavour/Salt,DERIVED_INLINE,SFG0276,ROYAL TRADITON SNACK MASALA MIX · WIP · RoastFlav,1
ROYAL TRADITON SNACK MIX CHATPATA-100G,ROYAL TRADITON SNACK MIX CHATPATA,Roast & Flavour/Salt,DERIVED_INLINE,SFG0277,ROYAL TRADITON SNACK MIX CHATPATA · WIP · RoastFlav,1
Salt and Pepper Cashew Bulk,Salt and Pepper Cashew Bulk,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0278,Salt and Pepper Cashew Bulk,1
Salted Premium Nut Mix,Salted Premium Nut Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0279,Salted Premium Nut Mix · WIP · RoastFlav,1
Seed Mix,Seed Mix,Roasting,DERIVED_INLINE,SFG0280,Seed Mix · WIP · Roast,1
Seed Trail Mix,Seed Trail Mix,Roasting,DERIVED_INLINE,SFG0281,Seed Trail Mix · WIP · Roast,1
Seedy Sheid- Lime Chilly 33gm / Seedy Sheid- Lime Chilly 35gm,Seedy Sheid- Lime Chilly,Roast & Flavour/Salt,DERIVED_INLINE,SFG0282,Seedy Sheid- Lime Chilly · WIP · RoastFlav,2
Single Safavi Stuffed Dates,Single Safavi Stuffed Dates,De-Seeding + Stuffing,DERIVED_INLINE,SFG0283,Single Safavi Stuffed Dates · WIP · DeSeed+Stuff,1
Smoked Almonds / Smoked Almonds Bulk,Smoked Almonds,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0284,Smoked Almonds Bulk,2
Smokey BBQ Cashew Bulk,Smokey BBQ Cashew Bulk,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0285,Smokey BBQ Cashew Bulk,1
Smokey BBQ Coated Peanuts 200g / Smokey BBQ Coated Peanuts 70gm,Smokey BBQ Coated Peanuts,Roast & Flavour/Salt,DERIVED_INLINE,SFG0286,Smokey BBQ Coated Peanuts · WIP · RoastFlav,2
Snack Amor Popcorn Makhana 55 Gm,Snack Amor Popcorn Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0287,Snack Amor Popcorn Makhana · WIP · RoastFlav,1
Snackania California Pistachio Roasted & Salted 230g,Snackania California Pistachio Roasted & Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0288,Snackania California Pistachio Roasted & Salted · WIP · RoastFlav,1
Snackania Cocktail Mix 480g,Snackania Cocktail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0289,Snackania Cocktail Mix · WIP · RoastFlav,1
Snackania Irani Pistachio Roasted & Salted 230g,Snackania Irani Pistachio Roasted & Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0290,Snackania Irani Pistachio Roasted & Salted · WIP · RoastFlav,1
Snacktive Green Chilli Cashew 250 gm,Snacktive Green Chilli Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0291,Snacktive Green Chilli Cashew · WIP · RoastFlav,1
Solimo Premium Macadamia Nuts 250g (B07MLD6WFQ),Solimo Premium Macadamia Nuts,Roasting,DERIVED_INLINE,SFG0292,Solimo Premium Macadamia Nuts · WIP · Roast,1
Sour & Cream Cashew Bulk,Sour & Cream Cashew Bulk,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0293,Sour & Cream Cashew Bulk,1
Stuffed Dates 1kg,Stuffed Dates,De-Seeding + Stuffing,DERIVED_INLINE,SFG0294,Stuffed Dates · WIP · DeSeed+Stuff,1
Stuffed Medjoul Large Pc,Stuffed Medjoul Large Pc,De-Seeding + Stuffing,DERIVED_INLINE,SFG0295,Stuffed Medjoul Large Pc · WIP · DeSeed+Stuff,1
