article,derived_type,in_fg_master,in_bom_parent,in_bom_component,in_all_sku,catalog_type,catalog_entity,process_category,routing_status,is_multilevel_sfg,in_wip_set,gap_flags
Dried Mango,rm,,,Y,Y,rm,cfpl,,n/a,,,
Dried Mango Loose,rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Dried Mango Powder - Amchur,rm,,,Y,Y,rm,cfpl,,n/a,,,
Dried Masala Kiwi,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Dried Masala Mango,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Dried Masala Pineapple,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Dried Meduri Cranberry Whole,rm,,,Y,Y,rm,cfpl,,n/a,,,
Dried Orange Peel,rm,,,Y,Y,rm,cfpl,,n/a,,,
Dried Peach,rm,,,Y,Y,rm,cfpl,,n/a,,,
Dried Pineapple,rm,,,Y,Y,rm,cfpl,,n/a,,,
Dried Pomelo,rm,,,Y,Y,rm,cfpl,,n/a,,,
Dried Prunes (Pitted),rm,Y,Y,Y,Y,rm,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Dried Raspberry,rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
DRIED ROSEMARY,rm,,,,Y,rm,cfpl,,n/a,,,
Dried Strawberry,rm,,,Y,Y,rm,cfpl,,n/a,,,
Dry Cut Dates,rm,,,,Y,rm,cdpl,,n/a,,,
DRY DATES-GRADE 1,rm,,,,Y,rm,cdpl,,n/a,,,
DRY DATES-GRADE 2,rm,,,,Y,rm,cfpl+cdpl,,n/a,,,
DRY DATES-GRADE 2 PITTED,rm,,,,Y,rm,cdpl,,n/a,,,
Dry Fruit Hamper,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Dryfruit instant Energy laddu Bar 35gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Dryfruit Instant Energy Laddubar (Semi Finished),fg,,Y,Y,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",Y,,BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); CATALOG_FG_NOT_IN_FG_MASTER; SFG_NOT_IN_WIP_SET
Dryfruit Instant Energy Laddubar Bites 9gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Dryfruit Instant Energy LadduBar Master Carton (Pack of 5 - 54 units),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Dryfruit Instant Energy Laddubar Mini Pack of 2 Master Carton (17 gms) - 300 units,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Dryfruit Instant Energy LadduBar Pack of 5,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Edamame Beans,rm,,,Y,Y,rm,cfpl,,n/a,,,
Egyptian Wet Dates 10kg,rm,,,Y,Y,rm,cfpl+cdpl,,n/a,,,
Energy Bar - Choco Crunch (Semi Finished),fg,,Y,Y,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",Y,,BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); CATALOG_FG_NOT_IN_FG_MASTER; SFG_NOT_IN_WIP_SET
Energy Bar - Choco Crunch 30gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Energy Bar - Fig & Dates 30gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Energy Bar - Hazelnut Magic 30gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Energy Bar - Oats & Apricot 30gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Energy Bar with Jaggery 30gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Energy Bar- Fig & Dates (Semi Finished),fg,,Y,Y,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",Y,,BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); CATALOG_FG_NOT_IN_FG_MASTER; SFG_NOT_IN_WIP_SET
Energy Bar- Hazelnut Magic (Semi Finished),fg,,Y,Y,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",Y,,BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); CATALOG_FG_NOT_IN_FG_MASTER; SFG_NOT_IN_WIP_SET
Energy Bar- Oats & Apricot (Semi Finished),fg,,Y,Y,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",Y,,BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); CATALOG_FG_NOT_IN_FG_MASTER; SFG_NOT_IN_WIP_SET
Energy Bars Oats and Dates (Pack of 6) 210gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Energy Bars Oats and Dates (Semi Finished),fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Energy Bars Oats and Dates (Semi),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Extra Cheese Label - TPL,pm,,,Y,Y,pm,cfpl,,n/a,,,
Extra Cheese Seasoning (UNC) 1Kg,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Extra Cheese Seasoning Extreme,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Extra Cheese Seasoning-UNC( Malaysian) 15kg,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Extra Cheese Seasoning-UNC( Malaysian) 1kg,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Extreme Cheese Seasoning( Malaysian) 1kg,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Ez Almond California Bold Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Almond California Regular Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Almond Mammra Regular Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Almond Mamra Regular Loose (1459019),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Almond Rstd Salted Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Anjeer Big Loose (1459023),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Ez Anjeer Small Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Black Raisin Loose (1459026),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Black Raisin Seedless Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Blue Berry Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Cashew 210 Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Cashew 240 Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Cashew 320 Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Cashew 4pc Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Cashew Roasted Salted Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Ez Chilean Walnut Giri Regular Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Chilean Walnut Giri Small Loose (1459038),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Cranberry Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Dried Apricot Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Dried Fruits Mixed (1459045),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Ez Green Pista Loose (1459047),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Honey Amla Loose (1459048),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Khurmani Wet Apricot Loose (1459052),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Kishmish Afghani Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Mix Dry Fruit Regular Loose (1459062),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Munakka Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Pista Roasted Salted Akbari Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Pista Roasted Salted Irani Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Seeds And Berries Mix Loose (1459071),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Ez Walnut Broken Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ez Walnut Whole Loose,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Fabsta Akbari Pista Rs 200g  (1468047),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
FABSTA ALMOND 100G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA ALMOND 1KG,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
FABSTA ALMOND 200G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA ALMOND 500G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA ALMOND REGULAR 100G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA ALMOND REGULAR 200G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA ALMOND REGULAR 500G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Fabsta Almond Roasted 200g (1468499),fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
FABSTA ALMOND RSTD SAL 100G,fg?,,Y,,,,,,"MISSING (has BOM recipe, not in FG Master)",,,ARTICLE_NOT_IN_CATALOG; BOM_PARENT_NO_ROUTING
FABSTA ALMOND RSTD SAL 200G,fg?,,Y,,,,,,"MISSING (has BOM recipe, not in FG Master)",,,ARTICLE_NOT_IN_CATALOG; BOM_PARENT_NO_ROUTING
Fabsta Anjeer 200gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA Apricots Dry 100gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA BLACK RAISINS 100G (1455547),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA BLACK RAISINS 200G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA BLACK RAISINS 500G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA CASHEW RS W320 100G,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
FABSTA CASHEW RS W320 200G,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Fabsta Cashew W320 Roasted 200g (1468502),fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
FABSTA CASHEWNUT 240 COUNT 200g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA CASHEWNUT BROKEN 200G,fg,Y,Y,,Y,fg,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering + Packaging,routed,,,
FABSTA DRY APRICOT 200G,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Fabsta Figs Regular 500gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA INDIAN RAISINS 200G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA INDIAN RAISINS 500G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA PISTA CALIFORNIA 200G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA Raisins Indian 100 Gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Fabsta Rstd Flax Seeds 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Fabsta Rstd Melon Seeds 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Fabsta Rstd Pumpkin Seeds 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Fabsta Rstd Sunflower Seeds 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
FABSTA Walnut Split 100gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FABSTA WALNUT SPLIT 250G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Fabsta Walnut Split 500g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Fan Bag 300g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Fard B Grade,rm,,,,Y,rm,cdpl,,n/a,,,
Fard Grade B,rm,,,,Y,rm,cfpl,,n/a,,,
Fard Seedless Dates,rm,,,,Y,rm,cfpl,,n/a,,,
Fardh Dates,rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Fennel Seed / Saunf / Variyali,rm,,,Y,Y,rm,cfpl,,n/a,,,
Festive Box - Magic Moments 600g,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Festive Box - Supreme 1000g,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
FESTIVE GREETING 560gm,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Festive Hamper 01,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Festive Hamper 02,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Festive Hamper 03,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
FIESTA DryFruit Box 800gm,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Fit Nutrition Berries Blast Bar 50g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Flax Seeds (Alsi),rm,,,Y,Y,rm,cfpl,,n/a,,,
Flaxseeds 200G (B07GR346G4),fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Flaxseeds 500G (B07GQZ7ZVT),fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Floppy Bag Gift Hamper,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
FNP Almonds 26-29 - Salted & Roasted 50 gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FNP Choco Almonds 50gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Chocolate + Packaging,routed,,,
FNP Choco Berry Bites 50gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
FNP Fiery Almonds Sizzlin Peri Peri 50gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
FNP Indian Raisins 70 gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FNP Pistachios Salted & Roasted 50 gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
FNP Salt & Pepper Cashew 50gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FNP Smokin Sweet N Smoky BBQ Almond 50gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
FNP Smokin Sweet N Smoky BBQ Cashew 50g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Foodsquare Truffle Laquered Nuts (Bulk),fg,Y,Y,,Y,fg,cfpl,Sorting (Bulk Packaging,routed,,,
Foodsquare Truffle Laquered Nuts 200gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Forsi Coctail Mix,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Forsi Panchmewa,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
FOS L55,rm,,,Y,Y,rm,cfpl,,n/a,,,
Freeze Dried Mango,rm,,,,Y,rm,cfpl,,n/a,,,
Freeze Dried Strawberry,rm,,,,Y,rm,cfpl,,n/a,,,
Fresho Kimia Dates 500 Gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Fresho Kimia Dates 500gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Garlic Cashew,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
GARLIC LIQUID - 4010003414,rm,,,Y,Y,rm,cfpl,,n/a,,,
GARLIC POWDER - SPICES,rm,,,Y,Y,rm,cfpl,,n/a,,,
GI- Eatrite Arabian Dates 500gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
GI- Eatrite Fard Dates 500gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Girnar Kahwa Tea,rm,,,,Y,rm,cfpl,,n/a,,,
GL CALIFORNIA PISTA RSTED & SLTD 500g PP,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
GL ROSTED&SLTD CALIFORNIA PISTA 200g PCH,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Glucose Syrup / Liquid Glucose,rm,,,Y,Y,rm,cfpl,,n/a,,,
Glues / Gum,pm,,,Y,Y,pm,cfpl,,n/a,,,
Glycerin,rm,,,Y,Y,rm,cfpl,,n/a,,,
Glycerol Monostearate (GMS) Powder,rm,,,,Y,rm,cfpl,,n/a,,,
GNG Almonds Coated Dark Chocolate 200g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
GNG Almonds Coated Milk Chocolate 200g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
GNG Almonds Coated White Chocolate 200g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
GNG Cranberry Coated Dark Chocolate 200g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
GNG Cranberry Coated Milk Chocolate 200g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
GNG Cranberry Coated White Chocolate 200g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Goji Berries - 12%,rm,,,,Y,rm,cfpl,,n/a,,,
Gondh Dryfruit Laddu Bar 35gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Gondh Dryfruit LadduBar Pack of 6,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Gondh Dryfruit Laddubar Semi Finished,fg,,Y,Y,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",Y,,BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); CATALOG_FG_NOT_IN_FG_MASTER; SFG_NOT_IN_WIP_SET
Good Health Dry Fruit Box 750 g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
GOOD LIFE ALMOND 100 g PP,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
GOOD LIFE ALMOND 200 g PP,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
GOOD LIFE ALMOND 500 g PP,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
GOOD LIFE ARABIAN DATES 500 g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
GOOD LIFE CHIA SEED 100G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
GOOD LIFE FARD DATES 500 g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
GOOD LIFE FLAX SEED 100G,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
GOOD LIFE PUMPKIN SEED 100G,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
GOOD LIFE SUNFLOWER SEED 100G,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
GOUR GUM,rm,,,Y,Y,rm,cfpl,,n/a,,,
GREEK DARK SEEDLESS RAISINS (Black Currant),rm,,,Y,Y,rm,cfpl,,n/a,,,
Green Cardamom,rm,,,Y,Y,rm,cfpl,,n/a,,,
Green Chilli ( 4010000169 ),rm,,,Y,Y,rm,cfpl,,n/a,,,
Green Chilli Cashew Bulk,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Roasting +Bulk Packaging,routed,Y,Y,MULTILEVEL_SFG (component+has-BOM)
Green Chilly Cashew,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Green Leafy Trunk Gift Hamper,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Green Tea Extract,rm,,,Y,Y,rm,cfpl,,n/a,,,
Green Tea Plain,rm,,,,Y,rm,cfpl,,n/a,,,
Greendot Coated Peanuts,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Grey Carry All Basket Hamper,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
H Finest Turkey Appricot 300g(1340538),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
HA AJWA DATES 300GM (1357012),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Akbari Pista 200g (1357005),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
HA ALMOND MAMRA 100g (1340535),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Almond Mamro 250g (1340532),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Almond Mamro 500g (1350928),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
HA APRICOT - JARDALOO 200g (1340540),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
HA BLACK CURRENT 250g (1340541),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Brazil Nut 200g (1340533),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Hazulnut 250g (1340531),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
HA MABOROOM DATES 300GM (1357011),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Maryam Dates 300g(1340537),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Pinenut 100g (1340543),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Premium Dates Medjool 300g(1340530),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Premium Pecans 150g (1340534),fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Ha Premium Saudi Dates 300g(1340536),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Premium Saudi Dates 500g(1356005),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Prunes 275g(1340539),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
HA SEGAI DATES 300GM (1357010),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
HA SINDUKANI RAISIN 250GM,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
HA SUKHRY DATES 300GM (1357013),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Walnut Kernal 250g(1340542),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Walnut Kernal 500g(1350930),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ha Walnut Whole 500g(1350935),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Habit Arabian dates 900 gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Habit Coconut Cream Powder 1 Kg (Bakery Division),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Habit Coconut Cream Powder 1 Kg (Instant),fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Habit Coconut Cream Powder 1 Kg (Plain),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
HABIT DATES 800g,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
HABIT DATES 800g Old,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Habit Extra Cheese Seasoning (15kg),fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Habit Pecan Nuts 500gm,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
HARDIK SHUBHKAMANYEN 280gm,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
