article,derived_type,in_fg_master,in_bom_parent,in_bom_component,in_all_sku,catalog_type,catalog_entity,process_category,routing_status,is_multilevel_sfg,in_wip_set,gap_flags
Al Barakah Date Spread 330gx12,fg,,,Y,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Date Syrup,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH DATE SYRUP 1.15KGx12 (13.8KG),rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH DATE SYRUP 250G,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Date Syrup 400gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Date Syrup 450gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH DATE SYRUP(1.15KG X 12),rm,,,,Y,rm,cfpl+cdpl,,n/a,,,
Al Barakah Dates Ajwa 35gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Arabian 400g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Al Barakah Dates Arabian 500g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Al Barakah Dates Fard 400 Gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Golden 300g,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Golden 500g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Al Barakah Dates Gulf 300g,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Gulf 500g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Khalas 35gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Khaneizi 35gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Khanezi 400 gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Oman Seedless 1kg,fg,Y,Y,,Y,fg,cfpl,De-seeding + Packaging,routed,,,
AL Barakah Dates Paste 500gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Safavi 35gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Dates Safavi 400g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Al Barakah Dates Safavi Seedless 400g,fg,Y,Y,,Y,fg,cfpl,De-seeding + Packaging,routed,,,
AL BARAKAH DATES SYRUP,rm,,,Y,Y,rm,cfpl,,n/a,,,
AL BARAKAH DATES SYRUP (400G Packing),rm,Y,Y,Y,Y,rm,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
AL BARAKAH DATES SYRUP 400G,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH DEHYDRATED DATE POWDER - BULK PACK 10KG,rm,,,Y,Y,rm,cfpl,,n/a,,,
Al Barakah Dehydrated Date Powder 250g,fg,Y,Y,,Y,fg,cfpl+cdpl,Packaging,routed,,,
Al Barakah Emirate Dates 500gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
AL BARAKAH EMIRATES BLACK DATES 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakah Emirates Dates 500 Gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Emirates Dates 500 Gm (Not in Use),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH EMIRATES GOLD DATES 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakah Fard 500g,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH FARD DATES 10KG - EZAD,rm,,,,Y,rm,cdpl,,n/a,,,
