fg_name,cycle_archetype,final_stage_label,input_code,input_sfg_article,input_kind
Snacktive Green Chilli Cashew 250 gm,B: Transform->Pack (in-line),Packing,SFG0291,Snacktive Green Chilli Cashew · WIP · RoastFlav,SFG
Solimo Cashew 250g (B01LPY9PHI)-FBA,D: Pack-only,Sorting + Packing,RM,,RM
Solimo Cashew 500g (B01LPY9UG4) FBA,D: Pack-only,Sorting + Packing,RM,,RM
Solimo Dates 500g (B085NTZMVR),D: Pack-only,Sorting + Packing,RM,,RM
Solimo Fard Dates 500gm (B0CZ9MC4B3),D: Pack-only,Sorting + Packing,RM,,RM
Solimo Figs 500g (B084429DVD) FBA,D: Pack-only,Sorting + Packing,RM,,RM
Solimo Preimum Almonds 1kg (B01LPY9P2I) - FBA,D: Pack-only,Sorting + Packing,RM,,RM
Solimo Premium Almonds 250g ( B01LPY9XY8 ),D: Pack-only,Sorting + Packing,RM,,RM
Solimo Premium Dried Apricots 500g 9B07PZWP8Z1,D: Pack-only,Sorting + Packing,RM,,RM
Solimo Premium Hazelnuts 250g (B07MLDJKTP) FBA,D: Pack-only,Sorting + Packing,RM,,RM
Solimo Premium Macadamia Nuts 250g (B07MLD6WFQ),B: Transform->Pack (in-line),Packing,SFG0292,Solimo Premium Macadamia Nuts · WIP · Roast,SFG
"Solimo Premium Pecan Nuts, 250g (B07MF7K9HD)",D: Pack-only,Sorting + Packing,RM,,RM
"Solimo Premium Pine Nuts, 250g (B07MF7FRRG)",D: Pack-only,Sorting + Packing,RM,,RM
Solimo Premium Pista Kernels - Plain 250g (B07Q1Z293G),D: Pack-only,Sorting + Packing,RM,,RM
Solimo Premium Raisin 250g (B01LPYAB9O),D: Pack-only,Sorting + Packing,RM,,RM
"Solimo Premium Raisins, 500 g (B07RJXW87Z)",D: Pack-only,Sorting + Packing,RM,,RM
Solimo Premium Walnut Kernal 250g (B0754LKDJ4),D: Pack-only,Sorting + Packing,RM,,RM
Solimo Premium Walnut Kernels - Broken 500g B07LF8HCLL,C: Pack of existing SFG,Packing,SFG0333,Chilean Walnut Kernel Quarter,SFG
Solimo Premium Walnut Kernels 500g (B07LFH2JNR),D: Pack-only,Sorting + Packing,RM,,RM
Solimo Premium Walnut Kernels 500g (Pack of 2) B07LF8HGDB,D: Pack-only,Sorting + Packing,RM,,RM
Solimo Walnut Kernels – Broken 500g (Pack of 2) B07LFJZR4G,C: Pack of existing SFG,Packing,SFG0333,Chilean Walnut Kernel Quarter,SFG
Sour & Cream Cashew Bulk,A: WIP producer (bulk),Packing,SFG0293,Sour & Cream Cashew Bulk,SFG
Stuffed Dates 1kg,B: Transform->Pack (in-line),Packing,SFG0294,Stuffed Dates · WIP · DeSeed+Stuff,SFG
Stuffed Medjoul Large Pc,B: Transform->Pack (in-line),Packing,SFG0295,Stuffed Medjoul Large Pc · WIP · DeSeed+Stuff,SFG
Stuffed Medjoul Large Pc with Almond,B: Transform->Pack (in-line),Packing,SFG0296,Stuffed Medjoul Large Pc with Almond · WIP · DeSeed+Stuff,SFG
Stuffed Medjoul Large Pc with Dried Pomelo,B: Transform->Pack (in-line),Packing,SFG0297,Stuffed Medjoul Large Pc with Dried Pomelo · WIP · DeSeed+Stuff,SFG
Stuffed Medjoul Large Pc with Hazel Nut,B: Transform->Pack (in-line),Packing,SFG0298,Stuffed Medjoul Large Pc with Hazel Nut · WIP · DeSeed+Stuff,SFG
Stuffed Medjoul Large Pc with Macadamia,B: Transform->Pack (in-line),Packing,SFG0299,Stuffed Medjoul Large Pc with Macadamia · WIP · DeSeed+Stuff,SFG
Stuffed Medjoul Large Pc with Orange Peel,B: Transform->Pack (in-line),Packing,SFG0300,Stuffed Medjoul Large Pc with Orange Peel · WIP · DeSeed+Stuff,SFG
Stuffed Medjoul Large Pc with Pecan Nut,B: Transform->Pack (in-line),Packing,SFG0301,Stuffed Medjoul Large Pc with Pecan Nut · WIP · DeSeed+Stuff,SFG
Stuffed Medjoul Large Pc with Pista,B: Transform->Pack (in-line),Packing,SFG0302,Stuffed Medjoul Large Pc with Pista · WIP · DeSeed+Stuff,SFG
Sunflower Seed 100g (B07GR6G24J) FBA,B: Transform->Pack (in-line),Packing,SFG0303,Sunflower Seed · WIP · Roast,SFG
Sunflower Seeds 200g (B07GQNLN8S) FBA,D: Pack-only,Sorting + Packing,RM,,RM
Sunflower Seeds Roasted,B: Transform->Pack (in-line),Packing,SFG0304,Sunflower Seeds Roasted · WIP · Roast,SFG
Sunflower Seeds Roasted and Salted,B: Transform->Pack (in-line),Packing,SFG0305,Sunflower Seeds Roasted and Salted · WIP · RoastFlav,SFG
Tasties Brazil Nut - Gems Of South Africa 50 g,D: Pack-only,Sorting + Packing,RM,,RM
Tasties Chilli Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,Packing,SFG0341,Chilli Almonds Bulk,SFG
Tasties Chilli Garlic Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,Packing,SFG0342,Chilli Garlic Cashew Bulk,SFG
"Tasties Coated Peanuts - Pudina Patakha, Flavourful & Crispy 25 g",C: Pack of existing SFG,Packing,SFG0334,Coated Peanuts Pudina Patakha Bulk,SFG
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),Packing,SFG0306,"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy · WIP · RoastFlav",SFG
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",B: Transform->Pack (in-line),Packing,SFG0307,"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy · WIP · RoastFlav",SFG
Tasties Hazelnut - A Turkish Indulgence 50 g,D: Pack-only,Sorting + Packing,RM,,RM
Tasties Lemon Pepper Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,Packing,SFG0177,Lemon Pepper Cashew Bulk,SFG
Tasties Macadamia Nuts - From South Africa 50 g,D: Pack-only,Sorting + Packing,RM,,RM
Tasties Pecan Nuts - Iconic American Nut 50 g,D: Pack-only,Sorting + Packing,RM,,RM
Tasties Peri Peri Cashew - Flavourful & Crunchy 75 g,C: Pack of existing SFG,Packing,SFG0235,Peri Peri Cashew Bulk,SFG
Tasties Pink Salted Pistachio - Flavourful & Crunchy 75 g,D: Pack-only,Sorting + Packing,RM,,RM
Tasties Roasted Almonds With Pink Salt - Flavourful & Crunchy 75 g,C: Pack of existing SFG,Packing,SFG0237,Pink Salt Almonds Bulk,SFG
Tasties Smoked Almonds - Flavourful & Crunchy 75 g,C: Pack of existing SFG,Packing,SFG0284,Smoked Almonds Bulk,SFG
Tasties Trail Mix - Mixed Berries 75 g,D: Pack-only,Sorting + Packing,RM,,RM
