fg_name,cycle_archetype,final_stage_label,input_code,input_sfg_article,input_kind
Amary Dates 250g (1356293),D: Pack-only,Sorting + Packing,RM,,RM
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),D: Pack-only,Sorting + Packing,RM,,RM
Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,B: Transform->Pack (in-line),Packing,SFG0014,Amazon Brand - Vedaka Raw Sunflower Seeds · WIP · Roast,SFG
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),B: Transform->Pack (in-line),Packing,SFG0015,Amazon Brand Nuts Berries and Seed Mix · WIP · Roast,SFG
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),B: Transform->Pack (in-line),Packing,SFG0016,Amazon Brand Vedaka Dryfruits and Berries Mix · WIP · Roast,SFG
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),Packing,SFG0017,Amazon Brand Vedaka Dryfruits and Nut Mix · WIP · Roast,SFG
Amazon Brand- Vedaka Dry Dates powder 200g,D: Pack-only,Sorting + Packing,RM,,RM
American Almonds (23-25 Count),D: Pack-only,Sorting + Packing,RM,,RM
American Almonds (24-25 Count),D: Pack-only,Sorting + Packing,RM,,RM
American Almonds Running 25-27 count,D: Pack-only,Sorting + Packing,RM,,RM
American Almonds Tukda,D: Pack-only,Sorting + Packing,RM,,RM
Anjeer (Figs),D: Pack-only,Sorting + Packing,RM,,RM
Anjeer 1*2 75gm,D: Pack-only,Sorting + Packing,RM,,RM
Antioxidant Mix 33gm,B: Transform->Pack (in-line),Packing,SFG0018,Antioxidant Mix · WIP · Roast,SFG
Antioxidant Mix 35gm,B: Transform->Pack (in-line),Packing,SFG0018,Antioxidant Mix · WIP · Roast,SFG
Apricot Kernel,D: Pack-only,Sorting + Packing,RM,,RM
Ar Barakah Fard Dates 1kg,D: Pack-only,Sorting + Packing,RM,,RM
Azmah Dates 500 Gms (110002703),D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Ajwa Dates 500g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Black Current 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Ajwa 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Deri 500 g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Golden 500 g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Mazafati 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Medjool 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Omani 250g,D: Pack-only,Sorting + Packing,RM,,RM
"BB Royal Dates - Red, Seedless 250 g",B: Transform->Pack (in-line),Packing,SFG0022,"BB Royal Dates - Red, Seedless · WIP · DeSeed",SFG
BB Royal Dates - Safawi 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Zahidi 500 g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dried Blue Berries 100g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dried Blue Berries 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dried Cran Berries 100g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dried Cran Berry 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Mazafati Dates 500g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Medjool Dates 500g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Red Dates - With Seeds 500gm,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Safavi Dates 500g,D: Pack-only,Sorting + Packing,RM,,RM
BBroyal Black Current 100g,D: Pack-only,Sorting + Packing,RM,,RM
BLACK PEPPER CASHEW,C: Pack of existing SFG,Packing,SFG0024,Black Pepper Cashew Bulk,SFG
BLISSFUL CELEBRATION 360gm,D: Pack-only,Sorting + Packing,RM,,RM
Banarasi Box Hamper 03,D: Pack-only,Sorting + Packing,RM,,RM
Barbeque Almonds,D: Pack-only,Sorting + Packing,RM,,RM
Barbeque Cashew,C: Pack of existing SFG,Packing,SFG0019,Barbeque Cashew Bulk,SFG
Barbeque Cashew Bulk,A: WIP producer (bulk),Packing,SFG0019,Barbeque Cashew Bulk,SFG
Barbeque Macadamia,B: Transform->Pack (in-line),Packing,SFG0020,Barbeque Macadamia · WIP · RoastFlav,SFG
Barbeque Makhana,B: Transform->Pack (in-line),Packing,SFG0021,Barbeque Makhana · WIP · RoastFlav,SFG
Bb Royal Omani Dates 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Berry Mix,D: Pack-only,Sorting + Packing,RM,,RM
Black Pepper Almonds,B: Transform->Pack (in-line),Packing,SFG0023,Black Pepper Almonds · WIP · RoastFlav,SFG
Black Pepper Cashew Bulk,A: WIP producer (bulk),Packing,SFG0024,Black Pepper Cashew Bulk,SFG
Black Pepper Macadamia Trail Mix,B: Transform->Pack (in-line),Packing,SFG0025,Black Pepper Macadamia Trail Mix · WIP · RoastFlav,SFG
Black Pepper Nutty Seed Mix 250gm,B: Transform->Pack (in-line),Packing,SFG0026,Black Pepper Nutty Seed Mix · WIP · RoastFlav,SFG
Black Pepper Pecannut,B: Transform->Pack (in-line),Packing,SFG0027,Black Pepper Pecannut · WIP · RoastFlav,SFG
Blackcurrant Date Balls 48 gms,B: Transform->Pack (in-line),Packing,SFG0028,Blackcurrant Date Balls · WIP · BlendForm,SFG
Blueberries 230g,D: Pack-only,Sorting + Packing,RM,,RM
Blueberries 75gm,D: Pack-only,Sorting + Packing,RM,,RM
Booster Berries 33gm,D: Pack-only,Sorting + Packing,RM,,RM
Booster Berries 35gm,D: Pack-only,Sorting + Packing,RM,,RM
Brazil Nuts,D: Pack-only,Sorting + Packing,RM,,RM
Breakfast Mix Bulk,B: Transform->Pack (in-line),Packing,SFG0029,Breakfast Mix Bulk · WIP · RoastFlav,SFG
CA GOA PRE CASHEW 230GM/P,D: Pack-only,Sorting + Packing,RM,,RM
CA INDIAN PREMIUM QUALITY RAISINS 150/P,D: Pack-only,Sorting + Packing,RM,,RM
CA PREMIUM ALMOND CALIFORNIA 218GM/P,D: Pack-only,Sorting + Packing,RM,,RM
CA PREMIUM DRY CANBERRY 230GM/P,D: Pack-only,Sorting + Packing,RM,,RM
CA PREMIUM PINSHROSTSALTIRANIPISTA15 /P,D: Pack-only,Sorting + Packing,RM,,RM
CA WALNUT CHILE (VACUUM PACKING)250GM /P,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Mayur Ratna Small 360g,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Mayur Ratna Small 360gm,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL RAISIN IDNIAN GREEN/GOLDEN ROUND 1KG,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Royal divine 550g,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Utsav 700g,D: Pack-only,Sorting + Packing,RM,,RM
CCD Energy Bar with Jaggery,B: Transform->Pack (in-line),Packing,SFG0096,CCD Energy Bar with Jaggery · WIP · BlendForm,SFG
CELEBRATING MOMENTS 300gm,D: Pack-only,Sorting + Packing,RM,,RM
CELEBRATION SLEEK BOX 300gm,D: Pack-only,Sorting + Packing,RM,,RM
CELEBRATIONS 550gm,D: Pack-only,Sorting + Packing,RM,,RM
CHATPATA SNACK MIX,B: Transform->Pack (in-line),Packing,SFG0099,CHATPATA SNACK MIX · WIP · RoastFlav,SFG
CLASSIC WOODEN BOX 480gm,D: Pack-only,Sorting + Packing,RM,,RM
CURATE BLUEBERRIES 200G,D: Pack-only,Sorting + Packing,RM,,RM
CURATE DATE BITES ASRTD RO/CA IND 420G,D: Pack-only,Sorting + Packing,RM,,RM
CURATE DATE BITES IND 210G,B: Transform->Pack (in-line),Packing,SFG0122,CURATE DATE BITES IND · WIP · BlendForm,SFG
CURATE DATE BITES ROSE IND 210G,B: Transform->Pack (in-line),Packing,SFG0123,CURATE DATE BITES ROSE IND · WIP · BlendForm,SFG
CURATE DATE BITES ROSE IND 360G,B: Transform->Pack (in-line),Packing,SFG0123,CURATE DATE BITES ROSE IND · WIP · BlendForm,SFG
CURATE MACADEMIA NUTS 200G,D: Pack-only,Sorting + Packing,RM,,RM
CURATE MAMRA ALMOND 500G,D: Pack-only,Sorting + Packing,RM,,RM
CURATE WHOLE CRANBERRIES 200G,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleria Walnut Kernel 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries  Pepper Pista Inshell 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries American Almond 25-27count - 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries American Pista Inshell Regular 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries American Pista Inshell Selected 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Blueberry 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Brazil Nuts 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Cashew 180 - 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Cashew 180 - 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Cashew 210 - 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Cashew 210 - 500g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Cashew 240 - 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Cashew 240 - 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Cashew 320 - 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Cashew Black Pepper 250 Gm,C: Pack of existing SFG,Packing,SFG0024,Black Pepper Cashew Bulk,SFG
Cafe Galleries Cashew Salted 180 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Chia seeds 250g,D: Pack-only,Sorting + Packing,RM,,RM
"Cafe Galleries Cocktail Mix 250g(Almond,Cashew,Pista,Black Raisins)",D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Cranberry Whole 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Flax seeds 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Hazelnuts 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Healthy Mewa Mix 250g,B: Transform->Pack (in-line),Packing,SFG0030,Cafe Galleries Healthy Mewa Mix · WIP · Roast,SFG
Cafe Galleries Macadamia Nut Salted 250g,B: Transform->Pack (in-line),Packing,SFG0031,Cafe Galleries Macadamia Nut Salted · WIP · Roast,SFG
Cafe Galleries Premium Cocktail Mix 250g,B: Transform->Pack (in-line),Packing,SFG0032,Cafe Galleries Premium Cocktail Mix · WIP · Roast,SFG
Cafe Galleries Pumpkin Seeds 250g,B: Transform->Pack (in-line),Packing,SFG0033,Cafe Galleries Pumpkin Seeds · WIP · Roast,SFG
Cafe Galleries Salted Cashew 210- 250gm,C: Pack of existing SFG,Packing,SFG0262,Roasted & Salted Cashew Bulk,SFG
Cafe Galleries Salted Pumpkin Seeds 250g,B: Transform->Pack (in-line),Packing,SFG0034,Cafe Galleries Salted Pumpkin Seeds · WIP · RoastFlav,SFG
"Cafe Galleries Seeds Mix, 250g",B: Transform->Pack (in-line),Packing,SFG0035,Cafe Galleries Seeds Mix · WIP · Roast,SFG
Cafe Galleries Selected American Almond 18 count - 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Selected American Almond 20-22 count - 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Slice Cranberry 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Sunflower Seeds - 250gm,B: Transform->Pack (in-line),Packing,SFG0036,Cafe Galleries Sunflower Seeds -  · WIP · Roast,SFG
California Pista Inshell Black Pepper,B: Transform->Pack (in-line),Packing,SFG0037,California Pista Inshell Black Pepper · WIP · RoastFlav,SFG
California Pista Inshell Pink Salted,B: Transform->Pack (in-line),Packing,SFG0038,California Pista Inshell Pink Salted · WIP · RoastFlav,SFG
California Pista Inshell Roasted and Salted,B: Transform->Pack (in-line),Packing,SFG0039,California Pista Inshell Roasted and Salted · WIP · RoastFlav,SFG
Caramel Pecannut,B: Transform->Pack (in-line),Packing,SFG0040,Caramel Pecannut · WIP · RoastFlav,SFG
Carnial Almond Dragees 100gm,B: Transform->Pack (in-line),Packing,SFG0041,Carnial Almond Dragees · WIP · Roast+Enrobe,SFG
Carnival Afghan Apricot 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Almond Choco Bite (Dark Chocolate) 100g,B: Transform->Pack (in-line),Packing,SFG0042,Carnival Almond Choco Bite · WIP · Roast+Enrobe,SFG
Carnival Almond Choco Bite (Milk Chocolate) 100g,B: Transform->Pack (in-line),Packing,SFG0042,Carnival Almond Choco Bite · WIP · Roast+Enrobe,SFG
Carnival Almond Choco Bite (White Chocolate) 100g,B: Transform->Pack (in-line),Packing,SFG0042,Carnival Almond Choco Bite · WIP · Roast+Enrobe,SFG
Carnival Almond Smoked Paprika 100g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Almond Smoked Paprika 200g,B: Transform->Pack (in-line),Packing,SFG0043,Carnival Almond Smoked Paprika · WIP · RoastFlav,SFG
Carnival Almonds - Indepance 200g Mono Carton,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Almonds - Independence 200g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Almonds 250 Gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Almonds Independence 1Kg,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Apricot Turkey 1x2 300gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Arabian 350gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Barbeque Cashew 100gm,C: Pack of existing SFG,Packing,SFG0019,Barbeque Cashew Bulk,SFG
Carnival Barbeque Cashew 200gm,C: Pack of existing SFG,Packing,SFG0019,Barbeque Cashew Bulk,SFG
Carnival Barbeque Makhana 125 Gm,B: Transform->Pack (in-line),Packing,SFG0044,Carnival Barbeque Makhana · WIP · RoastFlav,SFG
Carnival Barbeque Makhana 55g,B: Transform->Pack (in-line),Packing,SFG0044,Carnival Barbeque Makhana · WIP · RoastFlav,SFG
Carnival Berry Barbeque Trail Mix 200g,B: Transform->Pack (in-line),Packing,SFG0045,Carnival Berry Barbeque Trail Mix · WIP · RoastFlav,SFG
Carnival Black Pepper Makhana 125 Gm,B: Transform->Pack (in-line),Packing,SFG0046,Carnival Black Pepper Makhana · WIP · RoastFlav,SFG
Carnival Black Pepper Makhana 55g,B: Transform->Pack (in-line),Packing,SFG0046,Carnival Black Pepper Makhana · WIP · RoastFlav,SFG
Carnival Black Pepper Pistachio 80g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Blueberries Dried - 250G,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Blueberry 100g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival California Almonds Independence 1kg,D: Pack-only,Sorting + Packing,RM,,RM
Carnival California Pista Roasted and Salted 800g,B: Transform->Pack (in-line),Packing,SFG0047,Carnival California Pista Roasted and Salted · WIP · RoastFlav,SFG
Carnival California Pistachio 200g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival California Pitted Prunes 300 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Caramel Sesame Walnut 150g,B: Transform->Pack (in-line),Packing,SFG0048,Carnival Caramel Sesame Walnut · WIP · RoastFlav,SFG
Carnival Caramel Sesame Walnut 70g,B: Transform->Pack (in-line),Packing,SFG0048,Carnival Caramel Sesame Walnut · WIP · RoastFlav,SFG
Carnival Cashew (400 - 450) 200g Mono Carton,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Cashew Roasted And Salted 250g,C: Pack of existing SFG,Packing,SFG0262,Roasted & Salted Cashew Bulk,SFG
Carnival Chatpata Black Raisins 100g,B: Transform->Pack (in-line),Packing,SFG0049,Carnival Chatpata Black Raisins · WIP · RoastFlav,SFG
Carnival Chatpata Cranberry 100G,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Chatpata Cranberry 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Chatpata Prunes 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Cheese Cashew 100g,B: Transform->Pack (in-line),Packing,SFG0050,Carnival Cheese Cashew · WIP · RoastFlav,SFG
Carnival Cheese Cashew 230g,B: Transform->Pack (in-line),Packing,SFG0050,Carnival Cheese Cashew · WIP · RoastFlav,SFG
Carnival Cheese Makhana 125g,B: Transform->Pack (in-line),Packing,SFG0051,Carnival Cheese Makhana · WIP · RoastFlav,SFG
Carnival Cheese Makhana 55g,B: Transform->Pack (in-line),Packing,SFG0051,Carnival Cheese Makhana · WIP · RoastFlav,SFG
Carnival Choco Orange Walnut 150gm,B: Transform->Pack (in-line),Packing,SFG0052,Carnival Choco Orange Walnut · WIP · RoastFlav,SFG
Carnival Classic Almonds 100g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Classic Almonds 250g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Classic Anjeer 250g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Classic Cashew 250 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Classic Chia Seeds 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Classic Date Bites 357gm,B: Transform->Pack (in-line),Packing,SFG0053,Carnival Classic Date Bites · WIP · BlendForm,SFG
Carnival Classic Hazelnut 250 GMS,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Classic Indian Kishmish 500 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Classic Indian Raisins 250g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Classic Irani Pistachio Salted 80g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Classic Pumpkin Seeds 100g,B: Transform->Pack (in-line),Packing,SFG0054,Carnival Classic Pumpkin Seeds · WIP · Roast,SFG
Carnival Classic Sunflower Seeds 100G,B: Transform->Pack (in-line),Packing,SFG0055,Carnival Classic Sunflower Seeds · WIP · Roast,SFG
Carnival Cocktail Mix 100g,B: Transform->Pack (in-line),Packing,SFG0056,Carnival Cocktail Mix · WIP · RoastFlav,SFG
Carnival Cocktail Mix 200g,B: Transform->Pack (in-line),Packing,SFG0056,Carnival Cocktail Mix · WIP · RoastFlav,SFG
Carnival Cocktail Mix 250g,B: Transform->Pack (in-line),Packing,SFG0056,Carnival Cocktail Mix · WIP · RoastFlav,SFG
Carnival Cocktail Mix Plain Pouch 100g,B: Transform->Pack (in-line),Packing,SFG0057,Carnival Cocktail Mix Plain · WIP · RoastFlav,SFG
Carnival Cranberry Flavoured Chatpata 200g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Cranberry Sliced 250 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Cranberry Whole - 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Cranberry Whole 250G,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Crunchy Caramel Trail Mix 100g,B: Transform->Pack (in-line),Packing,SFG0058,Carnival Crunchy Caramel Trail Mix · WIP · RoastFlav,SFG
Carnival Crunchy Caramel Trail Mix 200g,B: Transform->Pack (in-line),Packing,SFG0058,Carnival Crunchy Caramel Trail Mix · WIP · RoastFlav,SFG
Carnival Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),Packing,SFG0058,Carnival Crunchy Caramel Trail Mix · WIP · RoastFlav,SFG
Carnival Deluxe Seeded Black Raisin 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Dried Blueberry 250g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Dried Blueberry 250g - Tub,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Dried Cranberry Whole 100g (PP),D: Pack-only,Sorting + Packing,RM,,RM
Carnival Dried Cranberry Whole 250g - Tub,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Almonds (27-28 count) 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Almonds (27-28 count) 125gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Almonds (27-28 count) 150gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Almonds (27-28 count) 200gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Black Raisin Seedless 150gm,B: Transform->Pack (in-line),Packing,SFG0059,Carnival Festive Black Raisin Seedless · WIP · DeSeed,SFG
Carnival Festive California Pista (21-26) 100gm,B: Transform->Pack (in-line),Packing,SFG0060,Carnival Festive California Pista · WIP · RoastFlav,SFG
Carnival Festive California Pista (21-26) 125gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive California Pista (21-26) 150gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive California Pista (21-26) 200gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive California Pista (21-26) 80gm,B: Transform->Pack (in-line),Packing,SFG0060,Carnival Festive California Pista · WIP · RoastFlav,SFG
Carnival Festive Cashew (320) 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Cashew (320) 125gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Cashew (320) 150gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Cashew (320) 200gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Cashew (320) 80gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Chatpata Cranberry 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Chatpata Cranberry 120g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Chatpata Cranberry 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Chatpata Cranberry 80gm,B: Transform->Pack (in-line),Packing,SFG0061,Carnival Festive Chatpata Cranberry · WIP · RoastFlav,SFG
Carnival Festive Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),Packing,SFG0062,Carnival Festive Crunchy Caramel Trail Mix · WIP · RoastFlav,SFG
Carnival Festive Flavoured Cashew (320) 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Flavoured Cashew (320) 80gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Indian Raisin 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Indian Raisin 150gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Indian Raisin 175gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Indian Raisin 200gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Indian Raisin 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Nuts & Seeds Mix 120g,B: Transform->Pack (in-line),Packing,SFG0063,Carnival Festive Nuts & Seeds Mix · WIP · Roast,SFG
Carnival Festive Paan Cranberry 125gm,B: Transform->Pack (in-line),Packing,SFG0064,Carnival Festive Paan Cranberry · WIP · RoastFlav,SFG
Carnival Festive Paan Raisin 125gm,B: Transform->Pack (in-line),Packing,SFG0065,Carnival Festive Paan Raisin · WIP · RoastFlav,SFG
Carnival Festive Salted Almonds (27-28 Count) 230gm,B: Transform->Pack (in-line),Packing,SFG0066,Carnival Festive Salted Almonds · WIP · RoastFlav,SFG
Carnival Festive Salted Almonds (27-28 count) 100gm,B: Transform->Pack (in-line),Packing,SFG0066,Carnival Festive Salted Almonds · WIP · RoastFlav,SFG
Carnival Festive Salted Almonds (27-28 count) 150gm,B: Transform->Pack (in-line),Packing,SFG0066,Carnival Festive Salted Almonds · WIP · RoastFlav,SFG
Carnival Festive Salted Almonds (27-28 count) 80gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Salted Cashew (320) 150gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Festive Salted Cashew (320) 230gm,B: Transform->Pack (in-line),Packing,SFG0067,Carnival Festive Salted Cashew · WIP · RoastFlav,SFG
Carnival Festive Seedless Black Raisin 200gm,B: Transform->Pack (in-line),Packing,SFG0068,Carnival Festive Seedless Black Raisin · WIP · DeSeed,SFG
Carnival FestiveSalted Cashew (320) 100gm,B: Transform->Pack (in-line),Packing,SFG0069,Carnival FestiveSalted Cashew · WIP · RoastFlav,SFG
Carnival Flax Seeds 100G,B: Transform->Pack (in-line),Packing,SFG0070,Carnival Flax Seeds · WIP · Roast,SFG
Carnival Ganpati Date Mewa Box 242g,B: Transform->Pack (in-line),Packing,SFG0071,Carnival Ganpati Date Mewa · WIP · BlendForm,SFG
Carnival Green Chilli Cashew 100g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Green Chilli Cashew 230g,C: Pack of existing SFG,Packing,SFG0169,Green Chilli Cashew Bulk,SFG
Carnival Himalayan Salt & Pepper Pistachios 25g,B: Transform->Pack (in-line),Packing,SFG0072,Carnival Himalayan Salt & Pepper Pistachios · WIP · RoastFlav,SFG
Carnival Honey Roasted Almonds 100G,B: Transform->Pack (in-line),Packing,SFG0073,Carnival Honey Roasted Almonds · WIP · RoastFlav,SFG
Carnival Indian Green Raisins 200g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Indian Kishmish 100g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Iranian Pistachio 250 Gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Jumbo Salted Cashew with Skin 200g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Macadamia 200gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Madhur Mahotsav DF Box 4P 400g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Magic Moments 4P 600gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Mangalmay Utsav DF Box 6P 600g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Mocha Mojo Trail Mix 100g,B: Transform->Pack (in-line),Packing,SFG0074,Carnival Mocha Mojo Trail Mix · WIP · RoastFlav,SFG
Carnival Mocha Mojo Trail Mix 200g,B: Transform->Pack (in-line),Packing,SFG0074,Carnival Mocha Mojo Trail Mix · WIP · RoastFlav,SFG
Carnival Mocha Mojo Trail Mix 250g,B: Transform->Pack (in-line),Packing,SFG0074,Carnival Mocha Mojo Trail Mix · WIP · RoastFlav,SFG
Carnival Nuts & Seed Mix 100gm,B: Transform->Pack (in-line),Packing,SFG0075,Carnival Nuts & Seed Mix · WIP · Roast,SFG
Carnival Oman Dates 250g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Pan Raisin 125g,B: Transform->Pack (in-line),Packing,SFG0076,Carnival Pan Raisin · WIP · RoastFlav,SFG
Carnival Pepper Cashew 100G,B: Transform->Pack (in-line),Packing,SFG0077,Carnival Pepper Cashew · WIP · RoastFlav,SFG
Carnival Pepper Cashew 125gm,B: Transform->Pack (in-line),Packing,SFG0077,Carnival Pepper Cashew · WIP · RoastFlav,SFG
Carnival Pepper Cashew 200G,B: Transform->Pack (in-line),Packing,SFG0077,Carnival Pepper Cashew · WIP · RoastFlav,SFG
Carnival Pepper Pistachios 200G,B: Transform->Pack (in-line),Packing,SFG0078,Carnival Pepper Pistachios · WIP · RoastFlav,SFG
Carnival Peri Peri Cashew 100 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Peri Peri Cashew 150gm,C: Pack of existing SFG,Packing,SFG0235,Peri Peri Cashew Bulk,SFG
