sfg_code,particulars,item_type,item_group,uom,sale_group,gst,batch_strategy,create_wip_operation,sfg_origin,already_in_all_sku,needs_cataloguing,possible_existing_match
SFG0147,Drangees Dark Almond · WIP · Roast+Enrobe,sfg,ALMOND,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0148,Dried Masala Mango · WIP · RoastFlav,sfg,DEHYDRATED FRUITS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0149,Dried Masala Pineapple · WIP · RoastFlav,sfg,DEHYDRATED FRUITS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0150,Dry Fruit · WIP · RoastFlav,sfg,FESTIVE HAMPERS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0151,Dryfruit instant Energy laddu Bar · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0152,Dryfruit Instant Energy Laddubar Bites · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0153,Dryfruit Instant Energy LadduBar Pack of · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0154,Energy Bar - Choco Crunch · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0155,Energy Bar - Fig & Dates · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0156,Energy Bar - Hazelnut Magic · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0157,Energy Bar - Oats & Apricot · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0158,Energy Bars Oats and Dates · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0159,Extra Cheese Seasoning · WIP · RoastFlav,sfg,TAJIR,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0160,Extra Cheese Seasoning Extreme · WIP · RoastFlav,sfg,TAJIR,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
