article,entity,raw_process_category,cycle_archetype,stage_seq,stage_bucket,stage_label,create_wip_operation,input_code,input_kind,output_code,output_kind
NB DEHYDRATED PEACH YELLOW LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB DEHYDRATED PINEAPPLE COIN LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB DEHYDRATED PINEAPPLE RING LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB DEHYDRATED STRAWBERRY LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB FLAX SEED LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB GOJI BERRY DRIED LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB GREEN CHILLY CASHEW LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0205,SFG
NB GREEN CHILLY CASHEW LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0205,SFG,FG,FG
NB HAZELNUT LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB HONEY ROAST ALMOND LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB MACADAMIA INSHELL VANILLA LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB MACADAMIA LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB MAMRA ALMOND CLASSIC LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB MAMRA ALMOND ROYAL LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB MAMRA ALMOND ROYAL LOOSE_x000D_,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB MASALA CASHEW LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0206,SFG
NB MASALA CASHEW LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0206,SFG,FG,FG
NB MASALA RAISIN LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0207,SFG
NB MASALA RAISIN LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0207,SFG,FG,FG
NB MILLENNIUM NUT MIX LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB MUNAKKA LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB PAAN RAISIN LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0208,SFG
NB PAAN RAISIN LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0208,SFG,FG,FG
NB PECAN NUT LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB PERI-PERI CASHEW LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0209,SFG
NB PERI-PERI CASHEW LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0209,SFG,FG,FG
NB PINENUT LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB PISTACHIO AKBARI LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB PISTACHIO IRANI LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB PISTACHIO KERNEL 5 STAR LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB PISTACHIO KERNEL PREMIUM LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB PRUNES DRIED LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB PUMPKIN SEED LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB RAISIN AFGHAN,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB RAISIN INDIAN PREMIUM LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB RAISIN SANDUKANI LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB ROASTED & SALTED ALMOND LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0210,SFG
NB ROASTED & SALTED ALMOND LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0210,SFG,FG,FG
NB ROASTED & SALTED CASHEW LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0211,SFG
NB ROASTED & SALTED CASHEW LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0211,SFG,FG,FG
NB ROASTED MACADAMIA INSHELL LOOSE,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0212,SFG
NB ROASTED MACADAMIA INSHELL LOOSE,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0212,SFG,FG,FG
NB SMOKED ALMOND LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0213,SFG
NB SMOKED ALMOND LOOSE,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0213,SFG,FG,FG
NB SRIRACHA CASHEW LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB SUNFLLOWER SEED LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB TRAIL MIX - POWER SEED LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB TRAIL MIX - PREMIUM NUT LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB TRAIL MIX SALTED COCKTAIL LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB TRAIL MIX- EVERY HEALTH LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB WALNUTS CHILEAN LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NB WATERMELON SEED LOOSE,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NOICE Choco Health Laddoo (18g*5),cfpl,Sorting + Blending + Bar Forming + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
NOICE Date Bites (18g*5),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0214,SFG
NOICE Date Bites (18g*5),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0214,SFG,FG,FG
Nature Dried Kiwi 200 Gm ( 1411658 ),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Almonds Reg 200 Gm (1411651),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Almons Reg 500 Gm ( 1411652 ),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures American Almond 100g (1340528),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures American Almond 250g (1340524),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures American Almonds 1 KG (1416275),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures American Alomnd 500g (1350926),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Black Rasin 200g (1340522),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures California Pista Reg 200 Gm (1411656),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Cashew Reg 200 Gm ( 1411653 ),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Cashew Split 200g (1356008),cfpl,Sorting + Blanching + Slicing/Dicing/Slivering + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blanch & Slice,Blanch & Slice,RM,RM,SFG0198,SFG
Natures Cashew Split 200g (1356008),cfpl,Sorting + Blanching + Slicing/Dicing/Slivering + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0198,SFG,FG,FG
Natures Cashew W 210 500g (1356007),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Cashew W210 100g (1340520),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Cashew W210 250g (1340525),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Dried Amla 200 Gm ( 1411660 ),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Dried Cherry 200 Gm ( 1411661 ),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Dried Pineapple 200 Gm ( 1411659 ),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Dried Strawberry 200 Gm (1411657),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Indian Raisin Reg 200 Gm (1411654),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Indian Raisin Reg 500 Gm (1411655),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Pista Iranian 100g (1340521),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Pista Iranian 250g (1340529),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Pistachia Iranian 500g (1340527),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Pisto Unshelled 200g (1340526),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Premium Mixed Dry Fruits 250g(1356314),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Raisin 100g (1340523),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Raisin 250g (1340519),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Natures Raisin 500g (1356006),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Nut Flex - Italian Herbs 33gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0215,SFG
Nut Flex - Italian Herbs 33gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0215,SFG,FG,FG
Nut Flex - Italian Herbs 35gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0215,SFG
Nut Flex - Italian Herbs 35gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0215,SFG,FG,FG
Nuts & Seed Mix,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Nuts and Cardamom Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0216,SFG
Nuts and Cardamom Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0216,SFG,FG,FG
OATS,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
ON THE RUN Assorted Energy Bars (Pack of 6x30g),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0218,SFG
ON THE RUN Assorted Energy Bars (Pack of 6x30g),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0218,SFG,FG,FG
ON THE RUN Choco Crunch Energy Bars (Pack of 6x30g),cfpl,Sorting + Blending + Bar Forming + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
ON THE RUN Choco Crunch Energy Bars 30g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0219,SFG
ON THE RUN Choco Crunch Energy Bars 30g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0219,SFG,FG,FG
ON THE RUN Fig and Date Energy Bar (Pack of 6x30 g),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0221,SFG
ON THE RUN Fig and Date Energy Bar (Pack of 6x30 g),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0221,SFG,FG,FG
ON THE RUN Fig and Date Energy Bar 30g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0221,SFG
ON THE RUN Fig and Date Energy Bar 30g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0221,SFG,FG,FG
ON THE RUN Hazelnut Magic Energy Bar 30g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0222,SFG
ON THE RUN Hazelnut Magic Energy Bar 30g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0222,SFG,FG,FG
"ON THE RUN Oats, Apricot & Cranberry Energy Bar 30g",cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0223,SFG
"ON THE RUN Oats, Apricot & Cranberry Energy Bar 30g",cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0223,SFG,FG,FG
Oman Dates 250g (1356292),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Omega Mix- Lemon Pepper 35gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0217,SFG
Omega Mix- Lemon Pepper 35gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0217,SFG,FG,FG
On the Run Coffee Bite 10g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0220,SFG
On the Run Coffee Bite 10g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0220,SFG,FG,FG
Ontherun Coffee Bite (Pack of 15x10g),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0224,SFG
Ontherun Coffee Bite (Pack of 15x10g),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0224,SFG,FG,FG
Ontherun Coffee Bite (Pack of 6*10g),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0224,SFG
Ontherun Coffee Bite (Pack of 6*10g),cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0224,SFG,FG,FG
Oriental Dates,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
PEANUT BUTTER,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0227,SFG
PEANUT BUTTER,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0227,SFG,FG,FG
PEPPER SNACK MIX,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0234,SFG
